Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear; NUCLEAR ;4845.73;102.930986;707.88;60;0.849;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine; CCGT ;839.3227517;20.98309659;183.79;25;0.363547929;0;1;1.05032;1.00E+15;
Electricity;Electricity;Amonia combined cycle gas turbine; CCGT_AMMONIA ;771.99;19.55202588;183.79;25;0.961538462;0;1;0;0;
Electricity;Electricity;Ultra-supercritical coal power plant; COAL_US ;2516.71;29.38376695;331.6;35;0.868;0;1;0;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal; COAL_IGCC ;3245.81;48.42022379;331.6;35;0.856;0;1;0;0;
Electricity;Electricity;Photovoltaic; PV ;870;9.935466867;2081.43;25;1;0;1;0.1791;40000;
Electricity;Electricity;Wind onshore; WIND_ONSHORE ;1483.672983;22.23843433;622.85;30;1;0;1;0.2148;260;
Electricity;Electricity;Wind offshore; WIND_OFFSHORE ;4974.63;34.611;622.85;30;1;0;1;0;0;
Electricity;Electricity;Hydro river; HYDRO_RIVER ;3619.361738;90.48404345;1262.82;40;1;0;1;0.0739;39.8569;
Electricity;Electricity;Geothermal power plant; GEOTHERMAL ;3222.827561;80.57065559;24929.09;30;0.914;0;1;0.1;0.296666667;Sin potencial completo
Heat;Heat high temperature;Cogeneration gas (industry); IND_COGEN_GAS ;707.178486;17.67952493;1024.32;25;0.85;0;1;0;1.00E+15;
