{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;Hydro_dam
1;1.06E-04;0.000114155;6.77E-06;0.000114155;0;0.006;0;0.828493374;0;0.634413101
2;9.73E-05;0.000114155;3.75E-06;0.000114155;0;0.011;0;0.829313382;0;0.636599164
3;9.10E-05;0.000114155;2.38E-06;0.000114155;0;0.015;0;0.83013339;0;0.638785226
4;8.80E-05;0.000114155;8.30E-06;0.000114155;0;0.028;0;0.830953398;0;0.640971288
5;8.63E-05;0.000114155;2.49E-05;0.000114155;0;0.059;0;0.831773406;0;0.64315735
6;7.76E-05;0.000114155;6.93E-05;0.000114155;0;0.062;0;0.832593414;0;0.645343412
7;7.66E-05;0.000114155;1.43E-04;0.000114155;0.27914;0.038;0;0.833413421;0.254085403;0.647529474
8;7.96E-05;0.000114155;1.90E-04;0.000114155;0.51991;0.04;0;0.834031222;0.495435007;0.649715537
9;8.25E-05;0.000114155;1.68E-04;0.000114155;0.68825;0.04;0;0.834649023;0.69685424;0.651901599
10;8.72E-05;0.000114155;1.65E-04;0.000114155;0.79295;0.039;0;0.835266824;0.844363921;0.654087661
11;9.11E-05;0.000114155;1.79E-04;0.000114155;0.85475;0.037;0;0.835884625;0.927102206;0.656273723
12;9.42E-05;0.000114155;1.96E-04;0.000114155;0.86143;0.036;0;0.836502425;0.939820242;0.658459785
13;9.64E-05;0.000114155;1.95E-04;0.000114155;0.74126;0.037;0;0.837120226;0.162492451;0.660645848
14;9.75E-05;0.000114155;1.85E-04;0.000114155;0.46897;0.043;0;0.837738027;0.06066823;0.66283191
15;9.81E-05;0.000114155;1.99E-04;0.000114155;0.43103;0.05;0;0.838355828;0.072622473;0.665017972
16;9.80E-05;0.000114155;2.16E-04;0.000114155;0.35878;0.065;0;0.838973629;0.115821166;0.667204034
17;9.77E-05;0.000114155;2.24E-04;0.000114155;0.14168;0.077;0;0.83959143;0.168362997;0.669390096
18;9.61E-05;0.000114155;1.98E-04;0.000114155;0.06845;0.069;0;0.84020923;0;0.671576159
19;1.02E-04;0.000114155;1.37E-04;0.000114155;0.00124;0.052;0;0.840827031;0;0.673762221
20;1.21E-04;0.000114155;9.07E-05;0.000114155;0;0.05;0;0.841444832;0;0.675948283
21;1.20E-04;0.000114155;6.33E-05;0.000114155;0;0.084;0;0.842062633;0;0.678134345
22;1.14E-04;0.000114155;4.11E-05;0.000114155;0;0.131;0;0.842680434;0;0.680320407
23;1.06E-04;0.000114155;2.46E-05;0.000114155;0;0.139;0;0.843298234;0;0.68250647
24;9.80E-05;0.000114155;8.08E-06;0.000114155;0;0.107;0;0.843916035;0;0.684692532
25;9.39E-05;0.000114155;6.77E-06;0.000114155;0;0.096;0;0.844533836;0;0.686878594
26;8.98E-05;0.000114155;3.75E-06;0.000114155;0;0.103;0;0.845151637;0;0.689064656
27;8.80E-05;0.000114155;2.38E-06;0.000114155;0;0.115;0;0.845769438;0;0.691250718
28;8.71E-05;0.000114155;8.30E-06;0.000114155;0;0.118;0;0.846387239;0;0.693436781
29;8.81E-05;0.000114155;2.49E-05;0.000114155;0;0.135;0;0.847005039;0;0.695622843
30;9.13E-05;0.000114155;6.93E-05;0.000114155;0;0.12;0;0.84762284;0;0.697808905
31;9.69E-05;0.000114155;1.43E-04;0.000114155;0.06701;0.097;0;0.848240641;0.00928985;0.699994967
32;1.06E-04;0.000114155;1.90E-04;0.000114155;0.13028;0.125;0;0.848858442;0.009520765;0.702181029
33;0.000114175;0.000114155;1.68E-04;0.000114155;0.2866;0.144;0;0.849476243;0.03599595;0.704367091
34;0.000117435;0.000114155;1.65E-04;0.000114155;0.30861;0.147;0;0.850094043;0.024512416;0.706553154
35;0.000119973;0.000114155;1.79E-04;0.000114155;0.45047;0.135;0;0.850711844;0.051591531;0.708739216
36;0.000121641;0.000114155;1.96E-04;0.000114155;0.62285;0.113;0;0.851329645;0.250328608;0.710925278
37;0.000119796;0.000114155;1.95E-04;0.000114155;0.84914;0.1;0;0.851947446;0.87594586;0.71311134
38;0.000123212;0.000114155;1.85E-04;0.000114155;0.6544;0.087;0;0.852565247;0.296742335;0.715297402
