Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	7.721606	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	14.179534	0.000000
WIND_ONSHORE	2.653549	0.000000
WIND_OFFSHORE	0.000000	0.000000
HYDRO_RIVER	0.912703	0.000000
GEOTHERMAL	0.000000	0.000000
OCGT	7.785859	0.000000
GENSET_DIESEL	9.713619	0.000000
HYDRO_DAM	22.374329	0.000000
ST_BIOMASS	1.001966	0.000000
ST_SNG	0.041383	0.000000
IND_COGEN_GAS	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.701426	0.000000
IND_BOILER_WOOD	0.000000	0.000000
IND_BOILER_OIL	0.001140	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000
IND_ENG_DIESEL	3.755962	0.000000
IND_BURNER_LPG	0.012876	0.000000
DHN_HP_ELEC	0.000000	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	0.000000	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	0.019025	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000
DEC_SOLAR	0.065547	0.000000
DEC_DIRECT_ELEC	0.011145	0.000000
STOVE_WOOD	0.107468	0.000000
STOVE_LPG	3.186420	0.000000
STOVE_NG	0.963539	0.000000
STOVE_OIL	0.014842	0.000000
STOVE_ELEC	0.096400	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
BUS_COACH_GASOLINE	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
