Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 1			3.953219																											-0.080106	0.000177																																													
 2			4.055190																											-0.102860	0.000098																																													
 3			4.163957																											-0.109641	0.000062																																													
 4			4.263340																											-0.100432	0.000217																																													
 5			4.330383																											-0.068548	0.000652																																													
 6			4.314811																											-0.000000	0.014706																																													
 7			4.144201																											-0.000000	0.169747																																													
 8			3.972565																											-0.000000	0.170807																																													
 9			3.821086																											-0.000000	0.150684																																													
 10			3.815970																											-0.000000	0.004353																																													
 11			3.810515																											-0.000000	0.004692																																													
 12			3.804619																											-0.000000	0.005134																																													
 13			3.798752																											-0.000000	0.005106																																													
 14			3.793148																											-0.000000	0.004844																																													
 15			3.787180																											-0.000000	0.005209																																													
 16			3.780769																											-0.000000	0.005654																																													
 17			3.774150																											-0.000000	0.005863																																													
 18			3.768213																											-0.000000	0.005182																																													
 19			3.763873																											-0.000000	0.003586																																													
 20			3.760746																											-0.000000	0.002375																																													
 21			3.758336																											-0.000000	0.001658																																													
 22			3.758446																											-0.001937	0.001075																																													
 23			3.792107																											-0.035056	0.000644																																													
 24			3.874081																											-0.082944	0.000211																																													
 25			3.956798																											-0.083669	0.000177																																													
 26			4.042954																											-0.087046	0.000098																																													
 27			4.114348																											-0.072265	0.000062																																													
 28			4.171272																											-0.057965	0.000217																																													
 29			4.196934																											-0.027148	0.000652																																													
 30			4.135232																											-0.000000	0.060863																																													
 31			3.964866																											-0.000000	0.169538																																													
 32			3.857902																											-0.000000	0.106171																																													
 33			3.852725																											-0.000000	0.004405																																													
 34			3.847634																											-0.000000	0.004321																																													
 35			3.842179																											-0.000000	0.004686																																													
 36			3.836280																											-0.000000	0.005130																																													
 37			3.830410																											-0.000000	0.005103																																													
 38			3.824802																											-0.000000	0.004842																																													
 39			3.818829																											-0.000000	0.005208																																													
 40			3.812413																											-0.000000	0.005652																																													
 41			3.805789																											-0.000000	0.005862																																													
 42			3.799847																											-0.000000	0.005181																																													
 43			3.795502																											-0.000000	0.003585																																													
 44			3.792369																											-0.000000	0.002374																																													
 45			3.789954																											-0.000000	0.001657																																													
 46			3.788120																											-0.000000	0.001076																																													
 47			3.806704																											-0.019985	0.000644																																													
 48			3.874077																											-0.068346	0.000211																																													
 49			3.970915																											-0.097790	0.000177																																													
 50			4.084008																											-0.113985	0.000098																																													
 51			4.167176																											-0.084046	0.000062																																													
 52			4.246635																											-0.080510	0.000217																																													
 53			4.293883																											-0.048749	0.000652																																													
 54			4.264734																											-0.000000	0.028290																																													
 55			4.099327																											-0.000000	0.164554																																													
 56			3.927679																											-0.000000	0.170828																																													
 57			3.822652																											-0.000000	0.104242																																													
 58			3.817562																											-0.000000	0.004325																																													
 59			3.812111																											-0.000000	0.004687																																													
 60			3.806218																											-0.000000	0.005131																																													
 61			3.800352																											-0.000000	0.005104																																													
 62			3.794750																											-0.000000	0.004842																																													
 63			3.788783																											-0.000000	0.005208																																													
 64			3.782373																											-0.000000	0.005653																																													
 65			3.775755																											-0.000000	0.005862																																													
 66			3.769818																											-0.000000	0.005181																																													
 67			3.765479																											-0.000000	0.003585																																													
 68			3.762352																											-0.000000	0.002374																																													
 69			3.759943																											-0.000000	0.001657																																													
 70			3.758115																											-0.000000	0.001076																																													
 71			3.785306																											-0.028586	0.000644																																													
 72			3.874066																											-0.089729	0.000211																																													
 73			4.018350																											-0.145236	0.000177																																													
 74			4.167682																											-0.150234	0.000098																																													
 75			4.317024																											-0.150238	0.000062																																													
 76			4.466164																											-0.150221	0.000217																																													
 77			4.586996																											-0.122377	0.000652																																													
 78			4.627357																											-0.043092	0.001813																																													
 79			4.511138																											-0.000000	0.115294																																													
 80			4.339401																											-0.000000	0.170835																																													
 81			4.196839																											-0.000000	0.141694																																													
 82			4.092288																											-0.000000	0.103712																																													
 83			3.984076																											-0.000000	0.107393																																													
 84			3.842994																											-0.000000	0.140285																																													
 85			3.766406																											-0.000000	0.075819																																													
 86			3.760790																											-0.000000	0.004863																																													
 87			3.754821																											-0.000000	0.005217																																													
 88			3.748411																											-0.000000	0.005658																																													
 89			3.741796																											-0.000000	0.005866																																													
 90			3.735863																											-0.000000	0.005185																																													
 91			3.731528																											-0.000000	0.003588																																													
 92			3.728405																											-0.000000	0.002376																																													
 93			3.726001																											-0.000000	0.001659																																													
 94			3.735907																											-0.011727	0.001075																																													
 95			3.779217																											-0.044701	0.000644																																													
 96			3.874072																											-0.095822	0.000211																																													
 97			3.953226																											-0.080106	0.000177																																													
 98			4.055198																											-0.102860	0.000098																																													
