Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																					-0.321459						0.000000				0.067607																	0.195522		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 2																					-0.284836						0.000000				0.030850																	0.195655		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 3																					-0.287559						0.000000				0.033584																	0.195645		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 4																					-0.291984						0.000000				0.038035																	0.195618		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 5																					-0.305631						0.000000				0.051719																	0.195581		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 6																					-0.351734						0.000000				0.097957																	0.195446		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 7																					-0.513729						0.000000				0.260466																	0.194932		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 8																					-0.458036						0.000000				0.204822																	0.194884		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 9																					-0.459618						0.000000				0.206061																	0.195226		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 10																					-0.433964						0.000000				0.180310																	0.195323		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 11																					-0.453122						0.000000				0.199589																	0.195201		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 12																					-0.444458						0.000000				0.191005																	0.195122		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 13																					-0.448172						0.000000				0.194811																	0.195031		0.000443																																																														0.005244	0.052644																																																																						0.000000	
 1 	 14																					-0.461449						0.000000				0.208132																	0.194986		0.000443																																																														0.005244	0.052644																																																																						0.000000	
 1 	 15																					-0.442573						0.000000				0.189207																	0.195035		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 16																					-0.429719						0.000000				0.176686																	0.194702		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 17																					-0.420049						0.000000				0.166984																	0.194734		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 18																					-0.450818						0.000000				0.197699																	0.194789		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 19																					-0.434486						0.000000				0.180796																	0.195360		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 20																					-0.345837						0.000000				0.092048																	0.195458		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 21																					-0.330265						0.000000				0.076449																	0.195485		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 22																					-0.326795						0.000000				0.072967																	0.195498		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 23																					-0.334906						0.000000				0.081082																	0.195494		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 1 	 24																					-0.262844						0.000000				0.008157																	0.196356		0.000442																																																														0.005244	0.052644																																																																						0.000000	
 2 	 1																					-0.405126						0.000000				0.150018																	0.196800		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 2																					-0.399545						0.000000				0.144429																	0.196806		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 3																					-0.378597						0.000000				0.123446																	0.196842		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 4																					-0.382340						0.000000				0.127195																	0.196836		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 5																					-0.402993						0.000000				0.147892																	0.196792		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 6																					-0.454979						0.000000				0.199987																	0.196683		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 7																					-0.509566						0.000000				0.255288																	0.195969		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 8																					-0.453957						0.000000				0.199751																	0.195898		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 9																					-0.479170						0.000000				0.224895																	0.195966		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 10																					-0.479454						0.000000				0.225039																	0.196106		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 11																					-0.464689						0.000000				0.210334																	0.196046		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 12																					-0.445873						0.000000				0.191598																	0.195966		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 13																					-0.445364						0.000000				0.190990																	0.196065		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 14																					-0.456378						0.000000				0.201998																	0.196071		0.000421																																																														0.005244	0.052644																																																																						0.000000	
 2 	 15																					-0.443017						0.000000				0.188794																	0.195914		0.000421																																																														0.005244	0.052644																																																																						0.000000	
