Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1			1.395106		0.000000																																				-0.027953													-0.454600																														-0.002970							-0.063295							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 2			1.359354		0.000000																																				-0.023388													-0.452972																														-0.001645							-0.035060							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 3			1.346366		0.000000																																				-0.023685													-0.453097																														-0.001044							-0.022251							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 4			1.405963		0.000000																																				-0.025010													-0.453424																														-0.003641							-0.077599							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 5			1.570264		0.000000																																				-0.026386													-0.453869																														-0.010923							-0.232797							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 6			2.010495		0.000000																																				-0.030379													-0.455522																														-0.030401							-0.647904							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 7			2.782695		0.000000																																				-0.074938													-0.461791																														-0.062733							-1.336945							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 8			3.261397		0.000000																																				-0.093023													-0.462374																														-0.083351							-1.776361							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 9			2.987305		0.000000																																				-0.038424													-0.458216																														-0.073700							-1.570677							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 10			2.952121		0.000000																																				-0.033795													-0.457024																														-0.072384							-1.542629							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 11			3.096723		0.000000																																				-0.039884													-0.458506																														-0.078526							-1.673519							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 12			3.270741		0.000000																																				-0.046539													-0.459473																														-0.085983							-1.832456							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 13			3.271803		0.000000																																				-0.056290													-0.460573																														-0.085545							-1.823107							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 14			3.182036		0.000000																																				-0.063857													-0.461118																														-0.081158							-1.729615							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 15			3.309682		0.000000																																				-0.055068													-0.460522																														-0.087299							-1.860504							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 16			3.827925		0.000000																																				-0.402861													-0.464577																														-0.094757							-2.019442							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 17			3.854434		0.000000																																				-0.351449													-0.464194																														-0.098267							-2.094236							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 18			3.426373		0.000000																																				-0.178539													-0.463530																														-0.086861							-1.851155							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 19			2.676239		0.000000																																				-0.032429													-0.456572																														-0.060101							-1.280850							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 20			2.218530		0.000000																																				-0.029101													-0.455373																														-0.039789							-0.847979							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 21			1.949302		0.000000																																				-0.028391													-0.455045																														-0.027769							-0.591809							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 22			1.731623		0.000000																																				-0.028159													-0.454891																														-0.018030							-0.384255							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 23			1.570470		0.000000																																				-0.028452													-0.454947																														-0.010792							-0.229992							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 1 	 24			1.385733		0.000000																																				-0.015975													-0.444384																														-0.003545							-0.075542							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 2 	 1			1.407037		0.000000																																				-0.053340													-0.441144																														-0.002970							-0.063295							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 2 	 2			1.377192		0.000000																																				-0.053142													-0.441057																														-0.001645							-0.035060							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 2 	 3			1.360331		0.000000																																				-0.050125													-0.440622																														-0.001044							-0.022251							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 2 	 4			1.419267		0.000000																																				-0.051037													-0.440701																														-0.003641							-0.077599							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 2 	 5			1.584997		0.000000																																				-0.053753													-0.441235																														-0.010923							-0.232797							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 2 	 6			2.026959		0.000000																																				-0.059807													-0.442558																														-0.030401							-0.647904							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
 2 	 7			3.125454		0.000000																																				-0.428271													-0.451217																														-0.062733							-1.336945							-0.001410	-0.000236			-0.844642																																																																																	0.000000	
