Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1	0.000000																			-0.000000											0.212961				0.000000	0.008904		0.006008		0.719623	0.010521	0.191066	0.020428	0.000423																																	-0.113720					-0.002368														-0.000168																																									-0.000001	0.000168																																													-1.053846	
 1 	 2	0.000000																			-0.000000											0.097178				0.000000	0.008253		0.005999		0.797494	0.008803	0.225515	0.015166	0.000428																																	-0.113720					-0.002368														-0.000093																																									-0.000002	0.000093																																													-1.042746	
 1 	 3	0.000000																			-0.000000											0.105789				0.000000	0.009122		0.006304		0.795457	0.008915	0.209461	0.015597	0.000423																																	-0.113720					-0.002368														-0.000059																																									-0.000002	0.000059																																													-1.034976	
 1 	 4	0.000000																			-0.000000											0.119810				0.000000	0.009122		0.005884		0.772972	0.009414	0.213680	0.016810	0.000416																																	-0.113720					-0.002368														-0.000206																																									-0.000003	0.000206																																													-1.032016	
 1 	 5	0.000000																			-0.000000											0.162916				0.000000	0.010208		0.005980		0.707530	0.009931	0.237627	0.019401	0.000436																																	-0.113720					-0.002368														-0.000619																																									-0.000004	0.000619																																													-1.037937	
 1 	 6	0.000000																			-0.000000											0.308566				0.000000	0.011945		0.005970		0.513944	0.011435	0.291153	0.025364	0.000457																																	-0.113720					-0.002368														-0.001723																																									-0.000009	0.001723																																													-1.052737	
 1 	 7	0.000000																			-0.000000											0.820470				0.012840	0.014334		0.005913		0.027471	0.028206	0.256961	0.123901	0.000414																																	-0.113683					-0.002368														-0.003554																																									-0.095077	0.003554																																													-1.079381	
 1 	 8	0.000000																			-0.000000											0.645189				0.066825	0.009556		0.007067		0.024405	0.035013	0.297031	0.119996	0.000408																																	-0.111296					-0.002368														-0.004723																																									-0.000000	0.004723																																													-1.091825	
 1 	 9	0.000000																			-0.000000											0.649094				0.103347	0.003909		0.007124		0.073194	0.014462	0.336203	0.046650	0.000407																																	-0.109842					-0.002368														-0.004176																																									-0.000000	0.004176																																													-1.122179	
 1 	 10	0.000000																			-0.000000											0.567976				0.134166	0.005212		0.007200		0.129824	0.012720	0.355043	0.033640	0.000405																																	-0.108602					-0.002368														-0.004101																																									-0.000000	0.004101																																													-1.135217	
 1 	 11	0.000000																			-0.000000											0.628707				0.156552	0.007601		0.007191		0.059844	0.015012	0.331401	0.051378	0.000405																																	-0.107696					-0.002368														-0.004449																																									-0.000000	0.004449																																													-1.148028	
 1 	 12	0.000000																			-0.000000											0.601667				0.168761	0.011945		0.006933		0.036550	0.017517	0.336055	0.076124	0.000407																																	-0.107203					-0.002368														-0.004872																																									-0.000000	0.004872																																													-1.146387	
 1 	 13	0.000000																			-0.000000											0.613654				0.148682	0.024541		0.007286		0.031713	0.021187	0.309114	0.095989	0.000409																																	-0.112530					-0.002368														-0.004847																																									-0.000000	0.004847																																													-1.137678	
 1 	 14	0.000000																			-0.000000											0.655618				0.064717	0.037355		0.007200		0.029599	0.024035	0.343513	0.104630	0.000409																																	-0.113463					-0.002368														-0.004598																																									-0.000000	0.004598																																													-1.151246	
 1 	 15	0.000000																			-0.000000											0.596002				0.113313	0.045391		0.006952		0.033114	0.020727	0.361612	0.094274	0.000410																																	-0.112004					-0.002368														-0.004946																																									-0.000000	0.004946																																													-1.157424	
 1 	 16	0.000000																			-0.000000											0.556560				0.014576	0.050820		0.006924		0.017871	0.151634	0.336203	0.133539	0.000404																																	-0.113707					-0.002368														-0.005369																																									-0.000000	0.005369																																													-1.152455	
 1 	 17	0.000000																			-0.000000											0.526001				0.051984	0.051472		0.013161		0.017723	0.132283	0.337418	0.131277	0.000409																																	-0.112972					-0.002368														-0.005568																																									-0.000000	0.005568																																													-1.146387	
 1 	 18	0.000000																			-0.000000											0.622751				0.017225	0.031491		0.021458		0.019501	0.067201	0.381302	0.128310	0.000411																																	-0.113633					-0.002368														-0.004922																																									-0.000000	0.004922																																													-1.173647	
 1 	 19	0.000000																			-0.000000											0.569506				0.001166	0.021501		0.018311		0.194729	0.012206	0.490903	0.030139	0.000410																																	-0.113720					-0.002368														-0.003405																																									-0.000000	0.003405																																													-1.222782	
 1 	 20	0.000000																			-0.000000											0.289952				0.000000	0.020198		0.025015		0.474962	0.010953	0.489441	0.023526	0.000413																																	-0.113720					-0.002368														-0.002254																																									-0.000000	0.002254																																													-1.218372	
 1 	 21	0.000000																			-0.000000											0.240815				0.000000	0.019981		0.025025		0.569542	0.010686	0.425018	0.022329	0.000416																																	-0.113720					-0.002368														-0.001573																																									-0.000000	0.001573																																													-1.197723	
