TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	881.557522	22.038967	25.000000	1.050320	1.050320	Infinity	0.000000	0.223035	1.000000	0.363548	0.363548	0.048263	193.038324
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.961538	0.048263	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	988.193019	11.285240	25.000000	0.179100	1.135854	40000.000000	0.000000	0.150616	1.000000	0.227017	1.000000	0.048263	2364.200685
WIND_ONSHORE	549.240028	8.232433	30.000000	0.214800	0.370189	260.000000	0.000000	0.071142	1.000000	0.329013	1.000000	0.041639	230.572475
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
HYDRO_RIVER	267.471033	6.686776	40.000000	0.073900	0.073900	39.856900	0.000000	0.020627	1.000000	0.477854	1.000000	0.033427	93.322468
GEOTHERMAL	322.282756	8.057066	30.000000	0.100000	0.100000	0.100000	0.000000	0.053250	1.000000	0.911649	0.914000	0.041639	2492.909000
OCGT	1164.173001	17.462928	25.000000	1.059060	1.059060	Infinity	0.000000	0.026696	1.000000	0.043156	0.340423	0.048263	194.644659
GENSET_DIESEL	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.064521	0.048263	0.000000
HYDRO_DAM	10305.195630	103.051956	40.000000	2.341780	2.341781	39.856900	0.000000	0.417533	1.000000	0.305249	1.000000	0.033427	2957.247692
ST_BIOMASS	302.964785	7.027468	25.000000	0.191500	0.191500	0.847000	0.036909	0.036909	1.000000	0.329970	0.340445	0.048263	31.660707
ST_SNG	0.904945	0.013574	25.000000	0.001000	0.001000	0.321000	0.000193	0.000193	1.000000	0.329970	0.340445	0.048263	1.024331
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	93.063885	1.864574	17.000000	0.000000	1.580300	Infinity	0.000000	0.999999	1.000000	0.950000	0.950000	0.067080	19.469300
IND_BOILER_WOOD	0.000581	0.000012	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.004565	0.900000	0.067080	0.000146
IND_BOILER_OIL	0.000517	0.000011	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.000410	0.950000	0.067080	0.000116
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	0.000765	0.000003	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.002780	0.950000	0.074944	0.000003
IND_ENG_DIESEL	0.000699	0.000010	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000151	0.900000	0.048263	0.001005
IND_BURNER_LPG	0.000548	0.000011	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.001595	0.944300	0.067080	0.000115
DHN_HP_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.048263	0.000000
DHN_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.750000	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.074944	0.000000
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.067080	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.067080	0.000000
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
DEC_HP_ELEC	0.000000	0.000000	18.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.063806	0.000000
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_COGEN_OIL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_BOILER_GAS	28.031294	0.841080	17.000000	0.000000	0.176809	Infinity	0.000000	0.986522	1.000000	0.986524	1.000000	0.067080	3.728901
DEC_BOILER_WOOD	0.000252	0.000009	17.000000	0.000000	0.000001	Infinity	0.000000	0.000001	1.000000	0.001837	1.000000	0.067080	0.000011
DEC_BOILER_OIL	0.000161	0.000010	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000262	1.000000	0.067080	0.000024
DEC_SOLAR	13.514035	0.164752	25.000000	0.011728	0.011728	0.011728	0.000000	0.013476	1.000000	0.203169	1.000000	0.048263	2.594398
DEC_DIRECT_ELEC	0.000263	0.000001	15.000000	0.000000	0.000007	Infinity	0.000000	0.000001	1.000000	0.001767	1.000000	0.074944	0.000010
STOVE_WOOD	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000346	1.000000	0.108434	0.000025
STOVE_LPG	0.000000	0.000000	10.000000	0.000000	0.783661	Infinity	0.000000	0.156414	1.000000	0.156415	1.000000	0.108434	58.774554
STOVE_NG	0.000000	0.000000	10.000000	0.000000	0.783662	Infinity	0.000000	0.727579	1.000000	0.727579	1.000000	0.108434	58.774650
STOVE_OIL	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000237	1.000000	0.108434	0.000016
STOVE_ELEC	0.000000	0.000000	10.000000	0.000000	0.629741	Infinity	0.000000	0.116007	1.000000	0.144361	0.187500	0.108434	47.230610
TRAMWAY_TROLLEY	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.342466	0.041639	0.000000
BUS_COACH_DIESEL	565.980019	17.686908	15.000000	0.000000	0.578844	Infinity	0.210071	0.210071	1.000000	0.296804	0.296804	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.296804	0.074944	0.000000
