Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 1			76.966250																											-0.687606	0.000148																																													
 2			77.660492																											-0.709718	0.000083																																													
 3			78.364698																											-0.719791	0.000053																																													
 4			79.050039																											-0.701196	0.000181																																													
 5			79.645804																											-0.612115	0.000540																																													
 6			79.933404																											-0.305029	0.001500																																													
 7			79.799957																											-0.000002	0.117462																																													
 8			79.678813																											-0.000003	0.105187																																													
 9			79.885692																											-0.226446	0.003632																																													
 10			80.214749																											-0.348601	0.003567																																													
 11			80.500373																											-0.305536	0.003869																																													
 12			80.673587																											-0.193551	0.004237																																													
 13			80.808735																											-0.155497	0.004215																																													
 14			80.913581																											-0.125007	0.003999																																													
 15			80.755169																											-0.000002	0.142231																																													
 16			80.236813																											-0.000002	0.502207																																													
 17			79.463651																											-0.000002	0.757116																																													
 18			79.004268																											-0.000002	0.443492																																													
 19			78.664630																											-0.000002	0.323839																																													
 20			78.644194																											-0.000003	0.004707																																													
 21			78.814398																											-0.187303	0.001370																																													
 22			79.161936																											-0.364191	0.000890																																													
 23			79.659819																											-0.514249	0.000534																																													
 24			80.287027																											-0.643316	0.000177																																													
 25			81.331529																											-1.060708	0.000149																																													
 26			82.404902																											-1.089724	0.000084																																													
 27			83.500112																											-1.111746	0.000055																																													
 28			84.577326																											-1.094096	0.000182																																													
 29			85.562221																											-1.002353	0.000542																																													
 30			86.285385																											-0.741778	0.001502																																													
 31			86.658011																											-0.392976	0.003094																																													
 32			86.857880																											-0.221309	0.004108																																													
 33			87.164632																											-0.327755	0.003633																																													
 34			87.761366																											-0.617735	0.003568																																													
 35			88.411908																											-0.671965	0.003870																																													
 36			88.824880																											-0.434892	0.004238																																													
 37			89.446920																											-0.644020	0.004216																																													
 38			90.016886																											-0.591856	0.004000																																													
 39			90.283521																											-0.288941	0.004303																																													
 40			90.294899																											-0.034104	0.004669																																													
 41			90.042484																											-0.000004	0.234360																																													
 42			89.886427																											-0.000004	0.138053																																													
 43			90.034003																											-0.168517	0.002963																																													
 44			90.481203																											-0.467170	0.001963																																													
 45			91.123865																											-0.662130	0.001372																																													
 46			91.944940																											-0.840192	0.000892																																													
