Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1							6.122735	0.000000																							-0.000007									-1.984605								-1.619135																									-0.196452							-1.649780						-0.005806						-0.097365								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 2							6.122735	0.000000																							-0.000011									-2.030622								-1.619135																									-0.196452							-1.649781						-0.003216						-0.053932								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 3							6.122735	0.000000																							-0.000009									-2.051503								-1.619135																									-0.196452							-1.649781						-0.002041						-0.034229								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 4							6.122735	0.000000																							-0.000056									-1.961238								-1.619135																									-0.196452							-1.649780						-0.007118						-0.119369								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 5							6.122735	0.000000																							-0.000036									-1.708287								-1.619135																									-0.196452							-1.649778						-0.021354						-0.358106								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 6							6.122735	0.000000																							-0.000002									-1.031693								-1.619135																									-0.196452							-1.649778						-0.059432						-0.996657								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 7							6.122735	0.000000																							-0.000004									-0.000062								-1.619135																									-0.196370							-1.558348						-0.122637						-2.056593								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 8							6.122735	0.000000																							-0.000003									-0.000060								-1.619135																									-0.190937							-0.847533						-0.162944						-2.732536								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 9							6.122735	0.000000																							-0.000004									-0.000061								-1.619135																									-0.188552							-1.185183						-0.144077						-2.416137								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 10							6.122735	0.000000																							-0.000004									-0.000061								-1.619135																									-0.186771							-1.232682						-0.141504						-2.372992								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 11							6.122735	0.000000																							-0.000003									-0.000060								-1.619135																									-0.185731							-1.020372						-0.153510						-2.574337								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 12							6.122735	0.000000																							-0.000003									-0.000059								-1.619135																									-0.185515							-0.761520						-0.168090						-2.818827								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 13							6.122735	0.000000																							-0.000003									-0.000059								-1.619135																									-0.194653							-0.767621						-0.167232						-2.804445								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 14							6.122735	0.000000																							-0.000003									-0.000060								-1.619135																									-0.196131							-0.918536						-0.158656						-2.660627								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 15							6.122735	0.000000																							-0.000003									-0.000059								-1.619135																									-0.194254							-0.707063						-0.170662						-2.861972								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 16							6.122735	0.000000																							-0.000003									-0.000056								-1.619135																									-0.196444							-0.445807						-0.185242						-3.106462								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 17							6.122735	0.000000																							-0.000003									-0.000055								-1.619135																									-0.195941							-0.324395						-0.192102						-3.221517								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 18							6.122735	0.000000																							-0.000003									-0.000058								-1.619135																									-0.196452							-0.720105						-0.169805						-2.847590								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 19							6.122735	0.000000																							-0.000004									-0.000055								-1.619135																									-0.196452							-1.649709						-0.117491						-1.970303								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 20							6.122735	0.000000																							-0.000008									-0.705562								-1.619135																									-0.196452							-1.649780						-0.077784						-1.304427								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 21							6.122735	0.000000																							-0.000008									-1.123122								-1.619135																									-0.196452							-1.649779						-0.054286						-0.910366								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 22							6.122735	0.000000																							-0.000041									-1.461400								-1.619135																									-0.196452							-1.649782						-0.035247						-0.591091								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 23							6.122735	0.000000																							-0.000078									-1.712815								-1.619135																									-0.196452							-1.649780						-0.021097						-0.353792								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 1 	 24							6.122735	0.000000																							-0.000005									-1.964643								-1.619135																									-0.196452							-1.649779						-0.006929						-0.116205								-0.000092						-0.327845							-0.241650																																																																						0.000000	
 2 	 1							6.122735	0.000000																							-1.843829									-0.140747								-1.619136																									-0.196452							-1.649813						-0.005806						-0.097365								-0.000092						-0.327845							-0.241650																																																																						0.000000	
