Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																						0.043924														-0.043924																																																																																																																																																			0.000000	
 1 	 2																						0.057449														-0.057449																																																																																																																																																			0.000000	
 1 	 3																						0.077829														-0.077829																																																																																																																																																			0.000000	
 1 	 4																						0.086477														-0.086477																																																																																																																																																			0.000000	
 1 	 5																						0.101661														-0.101661																																																																																																																																																			0.000000	
 1 	 6																						0.115867														-0.115867																																																																																																																																																			0.000000	
 1 	 7																						0.128391														-0.128391																																																																																																																																																			0.000000	
 1 	 8																						0.040909														-0.040909																																																																																																																																																			0.000000	
 1 	 9																						0.039309														-0.039309																																																																																																																																																			0.000000	
 1 	 10																						0.039103														-0.039103																																																																																																																																																			0.000000	
 1 	 11																						0.039406														-0.039406																																																																																																																																																			0.000000	
 1 	 12																						0.039874														-0.039874																																																																																																																																																			0.000000	
 1 	 13																						0.040300														-0.040300																																																																																																																																																			0.000000	
 1 	 14																						0.051749														-0.051749																																																																																																																																																			0.000000	
 1 	 15																						0.044767														-0.044767																																																																																																																																																			0.000000	
 1 	 16																						0.258195														-0.258195																																																																																																																																																			0.000000	
 1 	 17																						0.249606														-0.249606																																																																																																																																																			0.000000	
 1 	 18																						0.228544														-0.228544																																																																																																																																																			0.000000	
 1 	 19																						0.049689														-0.049689																																																																																																																																																			0.000000	
 1 	 20																						0.036915														-0.036915																																																																																																																																																			0.000000	
 1 	 21																						0.035670														-0.035670																																																																																																																																																			0.000000	
 1 	 22																						0.031491														-0.031491																																																																																																																																																			0.000000	
 1 	 23																						0.018721														-0.018721																																																																																																																																																			0.000000	
 1 	 24																						0.018590														-0.018590																																																																																																																																																			0.000000	
 2 	 1																						0.093774														-0.093774																																																																																																																																																			0.000000	
 2 	 2																						0.077963														-0.077963																																																																																																																																																			0.000000	
 2 	 3																						0.075510														-0.075510																																																																																																																																																			0.000000	
 2 	 4																						0.069785														-0.069785																																																																																																																																																			0.000000	
 2 	 5																						0.067058														-0.067058																																																																																																																																																			0.000000	
 2 	 6																						0.078235														-0.078235																																																																																																																																																			0.000000	
 2 	 7																						0.117490														-0.117490																																																																																																																																																			0.000000	
 2 	 8																						0.206630														-0.206630																																																																																																																																																			0.000000	
 2 	 9																						0.220532														-0.220532																																																																																																																																																			0.000000	
 2 	 10																						0.213990														-0.213990																																																																																																																																																			0.000000	
 2 	 11																						0.186185														-0.186185																																																																																																																																																			0.000000	
 2 	 12																						0.157290														-0.157290																																																																																																																																																			0.000000	
 2 	 13																						0.127849														-0.127849																																																																																																																																																			0.000000	
 2 	 14																						0.103587														-0.103587																																																																																																																																																			0.000000	
 2 	 15																						0.071693														-0.071693																																																																																																																																																			0.000000	
 2 	 16																						0.042797														-0.042797																																																																																																																																																			0.000000	
 2 	 17																						0.040071														-0.040071																																																																																																																																																			0.000000	
 2 	 18																						0.046068														-0.046068																																																																																																																																																			0.000000	
 2 	 19																						0.056699														-0.056699																																																																																																																																																			0.000000	
 2 	 20																						0.059425														-0.059425																																																																																																																																																			0.000000	
 2 	 21																						0.060243														-0.060243																																																																																																																																																			0.000000	
 2 	 22																						0.060788														-0.060788																																																																																																																																																			0.000000	
 2 	 23																						0.063787														-0.063787																																																																																																																																																			0.000000	
 2 	 24																						0.065695														-0.065695																																																																																																																																																			0.000000	
 3 	 1																						0.031629														-0.031629																																																																																																																																																			0.000000	
 3 	 2																						0.036742														-0.036742																																																																																																																																																			0.000000	
 3 	 3																						0.038303														-0.038303																																																																																																																																																			0.000000	
 3 	 4																						0.036862														-0.036862																																																																																																																																																			0.000000	
 3 	 5																						0.026555														-0.026555																																																																																																																																																			0.000000	
 3 	 6																						0.022023														-0.022023																																																																																																																																																			0.000000	
 3 	 7																						0.040783														-0.040783																																																																																																																																																			0.000000	
 3 	 8																						0.046963														-0.046963																																																																																																																																																			0.000000	
 3 	 9																						0.045491														-0.045491																																																																																																																																																			0.000000	
 3 	 10																						0.044267														-0.044267																																																																																																																																																			0.000000	
 3 	 11																						0.046425														-0.046425																																																																																																																																																			0.000000	
 3 	 12																						0.050682														-0.050682																																																																																																																																																			0.000000	
 3 	 13																						0.053882														-0.053882																																																																																																																																																			0.000000	
 3 	 14																						0.056167														-0.056167																																																																																																																																																			0.000000	
 3 	 15																						0.059019														-0.059019																																																																																																																																																			0.000000	
 3 	 16																						0.078061														-0.078061																																																																																																																																																			0.000000	
 3 	 17																						0.137793														-0.137793																																																																																																																																																			0.000000	
 3 	 18																						0.089732														-0.089732																																																																																																																																																			0.000000	
 3 	 19																						0.030921														-0.030921																																																																																																																																																			0.000000	
