TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	881.557473	22.038966	25.000000	1.050320	1.050320	Infinity	0.000000	0.000000	1.000000	0.000000	0.363548	0.048263	193.038313
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.961538	0.048263	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	9318.198013	106.414537	25.000000	0.179100	10.710572	40000.000000	0.000000	0.462876	1.000000	0.218648	1.000000	0.048263	22293.306770
WIND_ONSHORE	5994.035437	89.843224	30.000000	0.214800	4.039998	260.000000	0.000000	0.291692	1.000000	0.365291	1.000000	0.041639	2516.312566
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
HYDRO_RIVER	267.472011	6.686800	40.000000	0.073900	0.073900	39.856900	0.000000	0.006752	1.000000	0.462241	1.000000	0.033427	93.322809
GEOTHERMAL	956.105509	23.902628	30.000000	0.100000	0.296667	0.296667	0.000000	0.053583	1.000000	0.913803	0.914000	0.041639	7395.630031
OCGT	1164.172873	17.462926	25.000000	1.059060	1.059060	Infinity	0.000000	0.000000	1.000000	0.000000	0.340423	0.048263	194.644638
GENSET_DIESEL	0.000151	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000021	0.064521	0.048263	0.000217
HYDRO_DAM	10305.191959	103.051920	40.000000	2.341780	2.341780	39.856900	0.000000	0.147995	1.000000	0.319738	1.000000	0.033427	2957.246639
ST_BIOMASS	867.769976	20.128496	25.000000	0.191500	0.548506	0.847000	0.036909	0.036909	1.000000	0.340445	0.340445	0.048263	90.684504
ST_SNG	2.592015	0.038880	25.000000	0.001000	0.002864	0.321000	0.000193	0.000193	1.000000	0.340439	0.340445	0.048263	2.933969
IND_COGEN_GAS	0.000223	0.000006	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000711	0.850000	0.048263	0.000323
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	59.597726	1.194065	17.000000	0.000000	1.012018	Infinity	0.000000	0.279506	1.000000	0.414636	0.950000	0.067080	12.468059
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_OIL	0.000107	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000062	0.950000	0.067080	0.000024
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	498.937468	2.263387	15.000000	0.000000	1.501286	Infinity	0.000000	0.720494	1.000000	0.720494	0.950000	0.074944	2.206891
IND_ENG_DIESEL	0.000150	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000021	0.900000	0.048263	0.000216
IND_BURNER_LPG	0.000111	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000165	0.944300	0.067080	0.000023
DHN_HP_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.048263	0.000000
DHN_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.750000	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.074944	0.000000
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.067080	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.067080	0.000000
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
DEC_HP_ELEC	0.000000	0.000000	18.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.063806	0.000000
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_COGEN_GAS	0.000056	0.000004	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000193	1.000000	0.058246	0.000041
DEC_COGEN_OIL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_BOILER_GAS	0.000054	0.000002	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000814	1.000000	0.067080	0.000007
DEC_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.067080	0.000000
DEC_BOILER_OIL	0.000033	0.000002	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000049	1.000000	0.067080	0.000005
DEC_SOLAR	13.514806	0.164761	25.000000	0.011728	0.011728	48700.000000	0.000000	0.013494	1.000000	0.203429	1.000000	0.048263	2.594546
DEC_DIRECT_ELEC	7.068842	0.030896	15.000000	0.000000	0.176809	Infinity	0.000000	0.986505	1.000000	0.986505	1.000000	0.074944	0.259910
STOVE_WOOD	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000079	1.000000	0.108434	0.000006
STOVE_LPG	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000158	1.000000	0.108434	0.000013
STOVE_NG	0.000000	0.000000	10.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.001223	1.000000	0.108434	0.000668
STOVE_OIL	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000031	1.000000	0.108434	0.000002
STOVE_ELEC	0.000000	0.000000	10.000000	0.000000	4.179531	Infinity	0.000000	1.000000	1.000000	0.187500	0.187500	0.108434	313.464820
TRAMWAY_TROLLEY	644.991772	8.062397	30.000000	0.000000	0.644992	Infinity	0.000000	0.270088	1.000000	0.342466	0.342466	0.041639	0.000000
BUS_COACH_DIESEL	565.980076	17.686910	15.000000	0.000000	0.578844	Infinity	0.210071	0.210071	1.000000	0.296804	0.296804	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.296804	0.074944	0.000000
