Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1	0.000000																			-0.000000											0.000000				0.000000	1.892097		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-0.513772																0.000000								-0.176809					-0.783662	-0.000819					-0.000000								-0.027658									-0.138362																																-0.454697	0.027660																																													-1.878507	
 1 	 2	0.000000																			-0.000000											0.000000				0.000000	2.136047		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-0.496915																0.000000								-0.176809					-0.783662	-0.000454					-0.000000								-0.015320									-0.138362																																-0.687032	0.015322																																													-1.907343	
 1 	 3	0.000000																			-0.000000											0.000000				0.000000	2.463297		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-0.489269																0.000000								-0.176809					-0.783662	-0.000288					-0.000000								-0.009723									-0.138362																																-0.975136	0.009725																																													-1.954301	
 1 	 4	0.000000																			-0.000000											0.000000				0.000000	2.561472		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-0.522311																0.000000								-0.176809					-0.783662	-0.001004					-0.000000								-0.033909									-0.138362																																-1.026196	0.033910																																													-1.967657	
 1 	 5	0.000000																			-0.000000											0.000000				0.000000	2.597171		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-0.614965																0.000000								-0.176809					-0.783662	-0.003013					-0.000000								-0.101726									-0.138362																																-0.954246	0.101728																																													-1.980645	
 1 	 6	0.000000																			-0.000000											0.000000				0.000000	2.603121		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-0.862785																0.000000								-0.176809					-0.783662	-0.008386					-0.000000								-0.283118									-0.138362																																-0.688786	0.283119																																													-1.998862	
 1 	 7	0.000000																			-0.000000											0.000000				0.686941	2.615021		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.274144																0.000000								-0.176713					-0.783662	-0.017304					-0.000000								-0.584211									-0.138362																																-0.839715	0.584213																																													-2.126593	
 1 	 8	0.000000																			-0.000000											0.000000				5.281495	2.817321		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.501286																0.000000								-0.171764					-0.783662	-0.022991					-0.000000								-0.776224									-0.138362																																-4.550181	0.776226																																													-2.985100	
 1 	 9	0.000000																			-0.000000											0.000000				7.141473	2.882771		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.413682																0.000000								-0.169629					-0.783662	-0.020329					-0.000000								-0.686346									-0.138362																																-6.202975	0.686347																																													-3.350135	
 1 	 10	0.000000																			-0.000000											0.000000				8.388912	2.900621		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.396937																0.000000								-0.168032					-0.783662	-0.019966					-0.000000								-0.674090									-0.138362																																-7.255048	0.674091																																													-3.582056	
 1 	 11	0.000000																			-0.000000											0.000000				9.069155	2.897646		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.475079																0.000000								-0.167099					-0.783662	-0.021660					-0.000000								-0.731285									-0.138362																																-7.722438	0.731287																																													-3.713032	
 1 	 12	0.000000																			-0.000000											0.000000				9.189004	2.900621		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.501286																0.000000								-0.166898					-0.783662	-0.023717					-0.000000								-0.800737									-0.138362																																-7.797974	0.800738																																													-3.732257	
 1 	 13	0.000000																			-0.000000											0.000000				7.914050	2.900621		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.501286																0.000000								-0.175109					-0.783662	-0.023596					-0.000000								-0.796651									-0.138362																																-6.744454	0.796653																																													-3.502732	
 1 	 14	0.000000																			-0.000000											0.000000				3.589491	2.888721		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.501286																0.000000								-0.176473					-0.783662	-0.022386					-0.000000								-0.755797									-0.138362																																-3.134199	0.755799																																													-2.776374	
 1 	 15	0.000000																			-0.000000											0.000000				5.756356	2.864921		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.501286																0.000000								-0.174749					-0.783662	-0.024080					-0.000000								-0.812993									-0.138362																																-4.903120	0.812994																																													-3.150549	
 1 	 16	0.000000																			-0.000000											0.000000				0.707654	2.829221		0.060478	0.296666	0.000000	0.000000	1.697384	0.000000	0.000000	0.000000								-1.501286																0.000000								-0.176801					-0.783662	-0.026137					-0.000000								-0.882445									-0.138362																																-0.690655	0.882446																																													-2.274502	
