Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																						1.892097														-1.892097																																																																																																																																																			0.000000	
 1 	 2																						2.136047														-2.136047																																																																																																																																																			0.000000	
 1 	 3																						2.463297														-2.463297																																																																																																																																																			0.000000	
 1 	 4																						2.561472														-2.561472																																																																																																																																																			0.000000	
 1 	 5																						2.597171														-2.597171																																																																																																																																																			0.000000	
 1 	 6																						2.603121														-2.603121																																																																																																																																																			0.000000	
 1 	 7																						2.615021														-2.615021																																																																																																																																																			0.000000	
 1 	 8																						2.817321														-2.817321																																																																																																																																																			0.000000	
 1 	 9																						2.882771														-2.882771																																																																																																																																																			0.000000	
 1 	 10																						2.900621														-2.900621																																																																																																																																																			0.000000	
 1 	 11																						2.897646														-2.897646																																																																																																																																																			0.000000	
 1 	 12																						2.900621														-2.900621																																																																																																																																																			0.000000	
 1 	 13																						2.900621														-2.900621																																																																																																																																																			0.000000	
 1 	 14																						2.888721														-2.888721																																																																																																																																																			0.000000	
 1 	 15																						2.864921														-2.864921																																																																																																																																																			0.000000	
 1 	 16																						2.829221														-2.829221																																																																																																																																																			0.000000	
 1 	 17																						2.736996														-2.736996																																																																																																																																																			0.000000	
 1 	 18																						2.620971														-2.620971																																																																																																																																																			0.000000	
 1 	 19																						2.558497														-2.558497																																																																																																																																																			0.000000	
 1 	 20																						2.436522														-2.436522																																																																																																																																																			0.000000	
 1 	 21																						2.296697														-2.296697																																																																																																																																																			0.000000	
 1 	 22																						1.948622														-1.948622																																																																																																																																																			0.000000	
 1 	 23																						1.493448														-1.493448																																																																																																																																																			0.000000	
 1 	 24																						1.460723														-1.460723																																																																																																																																																			0.000000	
 2 	 1																						1.023399														-1.023399																																																																																																																																																			0.000000	
 2 	 2																						0.850849														-0.850849																																																																																																																																																			0.000000	
 2 	 3																						0.824074														-0.824074																																																																																																																																																			0.000000	
 2 	 4																						0.761599														-0.761599																																																																																																																																																			0.000000	
 2 	 5																						0.731849														-0.731849																																																																																																																																																			0.000000	
 2 	 6																						0.853824														-0.853824																																																																																																																																																			0.000000	
 2 	 7																						1.282223														-1.282223																																																																																																																																																			0.000000	
 2 	 8																						2.255047														-2.255047																																																																																																																																																			0.000000	
 2 	 9																						2.406772														-2.406772																																																																																																																																																			0.000000	
 2 	 10																						2.335372														-2.335372																																																																																																																																																			0.000000	
 2 	 11																						2.031922														-2.031922																																																																																																																																																			0.000000	
 2 	 12																						1.716573														-1.716573																																																																																																																																																			0.000000	
 2 	 13																						1.395273														-1.395273																																																																																																																																																			0.000000	
 2 	 14																						1.130499														-1.130499																																																																																																																																																			0.000000	
 2 	 15																						0.782424														-0.782424																																																																																																																																																			0.000000	
 2 	 16																						0.467074														-0.467074																																																																																																																																																			0.000000	
 2 	 17																						0.437324														-0.437324																																																																																																																																																			0.000000	
 2 	 18																						0.502774														-0.502774																																																																																																																																																			0.000000	
 2 	 19																						0.618799														-0.618799																																																																																																																																																			0.000000	
 2 	 20																						0.648549														-0.648549																																																																																																																																																			0.000000	
 2 	 21																						0.657474														-0.657474																																																																																																																																																			0.000000	
 2 	 22																						0.663424														-0.663424																																																																																																																																																			0.000000	
 2 	 23																						0.696149														-0.696149																																																																																																																																																			0.000000	
 2 	 24																						0.716974														-0.716974																																																																																																																																																			0.000000	
 3 	 1																						1.285143														-1.285143																																																																																																																																																			0.000000	
 3 	 2																						1.303913														-1.303913																																																																																																																																																			0.000000	
 3 	 3																						1.330123														-1.330123																																																																																																																																																			0.000000	
 3 	 4																						1.350640														-1.350640																																																																																																																																																			0.000000	
 3 	 5																						1.350592														-1.350592																																																																																																																																																			0.000000	
 3 	 6																						1.142339														-1.142339																																																																																																																																																			0.000000	
 3 	 7																						1.529098														-1.529098																																																																																																																																																			0.000000	
 3 	 8																						1.642022														-1.642022																																																																																																																																																			0.000000	
 3 	 9																						1.556447														-1.556447																																																																																																																																																			0.000000	
 3 	 10																						1.425752														-1.425752																																																																																																																																																			0.000000	
 3 	 11																						1.468171														-1.468171																																																																																																																																																			0.000000	
 3 	 12																						2.108758														-2.108758																																																																																																																																																			0.000000	
 3 	 13																						2.292346														-2.292346																																																																																																																																																			0.000000	
 3 	 14																						2.393358														-2.393358																																																																																																																																																			0.000000	
 3 	 15																						2.405671														-2.405671																																																																																																																																																			0.000000	
 3 	 16																						2.309983														-2.309983																																																																																																																																																			0.000000	
 3 	 17																						2.121580														-2.121580																																																																																																																																																			0.000000	
 3 	 18																						1.903995														-1.903995																																																																																																																																																			0.000000	
 3 	 19																						1.609471														-1.609471																																																																																																																																																			0.000000	
