Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1										2.433454																																	-0.000000	-0.000001																																																																																							-0.286247	-2.147206																																																			0.000000	
 1 	 2										2.259247																																	-0.000000	-0.000001																																																																																							-0.158556	-2.100690																																																			0.000000	
 1 	 3										2.199489																																	-0.000000	-0.000001																																																																																							-0.100631	-2.098858																																																			0.000000	
 1 	 4										2.504743																																	-0.000000	-0.000001																																																																																							-0.350938	-2.153804																																																			0.000000	
 1 	 5										3.073640																																	-0.000000	-0.000001																																																																																							-0.705988	-2.367651																																																			0.000000	
 1 	 6										3.356810																																	-0.000000	-0.000001																																																																																							-0.705988	-2.650821																																																			0.000000	
 1 	 7										3.470656																																	-0.000000	-0.000001																																																																																							-0.705988	-2.764667																																																			0.000000	
 1 	 8										3.514244																																	-0.000000	-0.000001																																																																																							-0.705988	-2.808256																																																			0.000000	
 1 	 9										3.503297																																	-0.000000	-0.000001																																																																																							-0.705988	-2.797308																																																			0.000000	
 1 	 10										3.501379																																	-0.000000	-0.000001																																																																																							-0.705988	-2.795390																																																			0.000000	
 1 	 11										3.508157																																	-0.000000	-0.000001																																																																																							-0.705988	-2.802168																																																			0.000000	
 1 	 12										3.515500																																	-0.000000	-0.000001																																																																																							-0.705988	-2.809511																																																			0.000000	
 1 	 13										3.513761																																	-0.000000	-0.000001																																																																																							-0.705988	-2.807772																																																			0.000000	
 1 	 14										3.506432																																	-0.000000	-0.000001																																																																																							-0.705988	-2.800443																																																			0.000000	
 1 	 15										3.513328																																	-0.000000	-0.000001																																																																																							-0.705988	-2.807339																																																			0.000000	
 1 	 16										3.515515																																	-0.000000	-0.000001																																																																																							-0.705988	-2.809526																																																			0.000000	
 1 	 17										3.519123																																	-0.000000	-0.000001																																																																																							-0.705988	-2.813134																																																			0.000000	
 1 	 18										3.509118																																	-0.000000	-0.000001																																																																																							-0.705988	-2.803129																																																			0.000000	
 1 	 19										3.478906																																	-0.000000	-0.000001																																																																																							-0.705988	-2.772917																																																			0.000000	
 1 	 20										3.417506																																	-0.000000	-0.000001																																																																																							-0.705988	-2.711517																																																			0.000000	
 1 	 21										3.337360																																	-0.000000	-0.000001																																																																																							-0.705988	-2.631372																																																			0.000000	
 1 	 22										3.218553																																	-0.000000	-0.000001																																																																																							-0.705988	-2.512564																																																			0.000000	
 1 	 23										3.069781																																	-0.000000	-0.000001																																																																																							-0.705988	-2.363793																																																			0.000000	
 1 	 24										2.486415																																	-0.000000	-0.000001																																																																																							-0.341636	-2.144778																																																			0.000000	
 2 	 1										2.920765																																	-0.000000	-0.000001																																																																																							-0.286247	-2.634517																																																			0.000000	
 2 	 2										2.758100																																	-0.000000	-0.000001																																																																																							-0.158557	-2.599543																																																			0.000000	
 2 	 3										2.684284																																	-0.000000	-0.000001																																																																																							-0.100631	-2.583653																																																			0.000000	
 2 	 4										3.015995																																	-0.000000	-0.000001																																																																																							-0.350938	-2.665056																																																			0.000000	
 2 	 5										3.602734																																	-0.000000	-0.000001																																																																																							-0.705988	-2.896745																																																			0.000000	
 2 	 6										3.801381																																	-0.000000	-0.000001																																																																																							-0.705988	-3.095392																																																			0.000000	
 2 	 7										3.854196																																	-0.000000	-0.000001																																																																																							-0.705988	-3.148208																																																			0.000000	
 2 	 8										3.880583																																	-0.000000	-0.000001																																																																																							-0.705988	-3.174594																																																			0.000000	
 2 	 9										3.878230																																	-0.000000	-0.000001																																																																																							-0.705988	-3.172242																																																			0.000000	
 2 	 10										3.877176																																	-0.000000	-0.000001																																																																																							-0.705988	-3.171188																																																			0.000000	
 2 	 11										3.880188																																	-0.000000	-0.000001																																																																																							-0.705988	-3.174199																																																			0.000000	
 2 	 12										3.879481																																	-0.000000	-0.000001																																																																																							-0.705988	-3.173493																																																			0.000000	
 2 	 13										3.879423																																	-0.000000	-0.000001																																																																																							-0.705988	-3.173434																																																			0.000000	
 2 	 14										3.879503																																	-0.000000	-0.000001																																																																																							-0.705988	-3.173515																																																			0.000000	
 2 	 15										3.878499																																	-0.000000	-0.000001																																																																																							-0.705988	-3.172510																																																			0.000000	
 2 	 16										3.876232																																	-0.000000	-0.000001																																																																																							-0.705988	-3.170243																																																			0.000000	
 2 	 17										3.873953																																	-0.000000	-0.000001																																																																																							-0.705988	-3.167964																																																			0.000000	
 2 	 18										3.877605																																	-0.000000	-0.000001																																																																																							-0.705988	-3.171616																																																			0.000000	
 2 	 19										3.861557																																	-0.000000	-0.000001																																																																																							-0.705988	-3.155569																																																			0.000000	
 2 	 20										3.834619																																	-0.000000	-0.000001																																																																																							-0.705988	-3.128630																																																			0.000000	
