Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1							3.930471	0.000000																							-0.373853									-2.060182								-0.986919																									-0.017202							-0.270467						-0.002570						-0.043052																					-0.176227																																																																						0.000000	
 1 	 2							3.930471	0.000000																							-0.170595									-2.283117								-0.987592																									-0.017202							-0.270467						-0.001424						-0.023847																					-0.176227																																																																						0.000000	
 1 	 3							3.930471	0.000000																							-0.185711									-2.277284								-0.987541																									-0.017202							-0.270467						-0.000904						-0.015135																					-0.176227																																																																						0.000000	
 1 	 4							3.930471	0.000000																							-0.210326									-2.212912								-0.987405																									-0.017202							-0.270467						-0.003151						-0.052781																					-0.176227																																																																						0.000000	
 1 	 5							3.930471	0.000000																							-0.285998									-2.025561								-0.987219																									-0.017202							-0.270467						-0.009453						-0.158344																					-0.176227																																																																						0.000000	
 1 	 6							3.930471	0.000000																							-0.541686									-1.471351								-0.986536																									-0.017202							-0.270467						-0.026309						-0.440693																					-0.176227																																																																						0.000000	
 1 	 7							3.930471	0.000000																							-1.440331									-0.078646								-0.983943																									-0.017202							-0.270467						-0.054288						-0.909367																					-0.176227																																																																						0.000000	
 1 	 8							3.930471	0.000000																							-1.132626									-0.069868								-0.983701																									-0.017202							-0.270467						-0.072131						-1.208250																					-0.176227																																																																						0.000000	
 1 	 9							3.930471	0.000000																							-1.139482									-0.209543								-0.985424																									-0.017202							-0.270467						-0.063779						-1.068348																					-0.176227																																																																						0.000000	
 1 	 10							3.930471	0.000000																							-0.997080									-0.371669								-0.985917																									-0.017202							-0.270467						-0.062640						-1.049270																					-0.176227																																																																						0.000000	
 1 	 11							3.930471	0.000000																							-1.103693									-0.171326								-0.985303																									-0.017202							-0.270467						-0.067955						-1.138299																					-0.176227																																																																						0.000000	
 1 	 12							3.930471	0.000000																							-1.056224									-0.104637								-0.984899																									-0.017202							-0.270467						-0.074409						-1.246405																					-0.176227																																																																						0.000000	
 1 	 13							3.930471	0.000000																							-1.077268									-0.090791								-0.984442																									-0.017202							-0.270467						-0.074029						-1.240046																					-0.176227																																																																						0.000000	
 1 	 14							3.930471	0.000000																							-1.150934									-0.084739								-0.984216																									-0.017202							-0.270467						-0.070233						-1.176454																					-0.176227																																																																						0.000000	
 1 	 15							3.930471	0.000000																							-1.046280									-0.094802								-0.984463																									-0.017202							-0.270467						-0.075547						-1.265483																					-0.176227																																																																						0.000000	
 1 	 16							3.930471	0.000000																							-0.977039									-0.051163								-0.982783																									-0.017202							-0.270467						-0.082001						-1.373590																					-0.176227																																																																						0.000000	
 1 	 17							3.930471	0.000000																							-0.923392									-0.050738								-0.982944																									-0.017202							-0.270467						-0.085038						-1.424463																					-0.176227																																																																						0.000000	
 1 	 18							3.930471	0.000000																							-1.093237									-0.055828								-0.983219																									-0.017202							-0.270467						-0.075168						-1.259124																					-0.176227																																																																						0.000000	
 1 	 19							3.930471	0.000000																							-0.999766									-0.557483								-0.986104																									-0.017202							-0.270467						-0.052010						-0.871212																					-0.176227																																																																						0.000000	
 1 	 20							3.930471	0.000000																							-0.509010									-1.359752								-0.986600																									-0.017202							-0.270467						-0.034433						-0.576780																					-0.176227																																																																						0.000000	
 1 	 21							3.930471	0.000000																							-0.422750									-1.630520								-0.986736																									-0.017202							-0.270467						-0.024031						-0.402538																					-0.176227																																																																						0.000000	
 1 	 22							3.930471	0.000000																							-0.403492									-1.799317								-0.986800																									-0.017202							-0.270467						-0.015603						-0.261364																					-0.176227																																																																						0.000000	
 1 	 23							3.930471	0.000000																							-0.448369									-1.865654								-0.986777																									-0.017202							-0.270467						-0.009339						-0.156437																					-0.176227																																																																						0.000000	
 1 	 24							3.930471	0.000000																							-0.045108									-2.375887								-0.991130																									-0.017202							-0.270467						-0.003067						-0.051382																					-0.176227																																																																						0.000000	
 2 	 1							3.930471	0.000000																							-0.829570									-1.598014								-0.993369																									-0.017202							-0.270467						-0.002570						-0.043052																					-0.176228																																																																						0.000000	
 2 	 2							3.930471	0.000000																							-0.798668									-1.649232								-0.993404																									-0.017202							-0.270467						-0.001424						-0.023847																					-0.176228																																																																						0.000000	
 2 	 3							3.930471	0.000000																							-0.682632									-1.774320								-0.993585																									-0.017202							-0.270467						-0.000904						-0.015135																					-0.176228																																																																						0.000000	
 2 	 4							3.930471	0.000000																							-0.703365									-1.713725								-0.993553																									-0.017202							-0.270467						-0.003151						-0.052781																					-0.176228																																																																						0.000000	
 2 	 5							3.930471	0.000000																							-0.817816									-1.487631								-0.993331																									-0.017202							-0.270467						-0.009453						-0.158344																					-0.176228																																																																						0.000000	
