Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1		0.101702		0.000000																																																																																					-0.004922	-0.120564																																									0.023784																																																				0.000000	
 1 	 2		0.045501		0.000000																																																																																					-0.002727	-0.066782																																									0.024008																																																				0.000000	
 1 	 3		0.020163		0.000000																																																																																					-0.001730	-0.042384																																									0.023952																																																				0.000000	
 1 	 4		0.130062		0.000000																																																																																					-0.006035	-0.147811																																									0.023784																																																				0.000000	
 1 	 5		0.437781		0.000000																																																																																					-0.018104	-0.443434																																									0.023758																																																				0.000000	
 1 	 6		1.260758		0.000000																																																																																					-0.050387	-1.234137																																									0.023766																																																				0.000000	
 1 	 7		2.626870		0.000000																																																																																					-0.103974	-2.546631																																									0.023735																																																				0.000000	
 1 	 8		3.498047		0.000000																																																																																					-0.138147	-3.383636																																									0.023736																																																				0.000000	
 1 	 9		3.090262		0.000000																																																																																					-0.122151	-2.991847																																									0.023736																																																				0.000000	
 1 	 10		3.034655		0.000000																																																																																					-0.119969	-2.938421																																									0.023736																																																				0.000000	
 1 	 11		3.294154		0.000000																																																																																					-0.130149	-3.187741																																									0.023736																																																				0.000000	
 1 	 12		3.609261		0.000000																																																																																					-0.142509	-3.490488																																									0.023736																																																				0.000000	
 1 	 13		3.590725		0.000000																																																																																					-0.141782	-3.472679																																									0.023736																																																				0.000000	
 1 	 14		3.405368		0.000000																																																																																					-0.134511	-3.294593																																									0.023736																																																				0.000000	
 1 	 15		3.664868		0.000000																																																																																					-0.144690	-3.543914																																									0.023736																																																				0.000000	
 1 	 16		3.979975		0.000000																																																																																					-0.157051	-3.846660																																									0.023736																																																				0.000000	
 1 	 17		4.128260		0.000000																																																																																					-0.162868	-3.989129																																									0.023737																																																				0.000000	
 1 	 18		3.646332		0.000000																																																																																					-0.143963	-3.526105																																									0.023736																																																				0.000000	
 1 	 19		2.515656		0.000000																																																																																					-0.099611	-2.439780																																									0.023735																																																				0.000000	
 1 	 20		1.657454		0.000000																																																																																					-0.065947	-1.615241																																									0.023733																																																				0.000000	
 1 	 21		1.149545		0.000000																																																																																					-0.046025	-1.127285																																									0.023765																																																				0.000000	
 1 	 22		0.738056		0.000000																																																																																					-0.029883	-0.731934																																									0.023761																																																				0.000000	
 1 	 23		0.432220		0.000000																																																																																					-0.017886	-0.438092																																									0.023758																																																				0.000000	
 1 	 24		0.125984		0.000000																																																																																					-0.005875	-0.143894																																									0.023784																																																				0.000000	
 2 	 1		0.103395		0.000000																																																																																					-0.004922	-0.120564																																									0.022091																																																				0.000000	
 2 	 2		0.047502		0.000000																																																																																					-0.002727	-0.066782																																									0.022007																																																				0.000000	
 2 	 3		0.021972		0.000000																																																																																					-0.001730	-0.042384																																									0.022143																																																				0.000000	
 2 	 4		0.131747		0.000000																																																																																					-0.006035	-0.147811																																									0.022099																																																				0.000000	
 2 	 5		0.439507		0.000000																																																																																					-0.018104	-0.443434																																									0.022032																																																				0.000000	
 2 	 6		1.262570		0.000000																																																																																					-0.050387	-1.234137																																									0.021954																																																				0.000000	
 2 	 7		2.628639		0.000000																																																																																					-0.103974	-2.546631																																									0.021966																																																				0.000000	
 2 	 8		3.499813		0.000000																																																																																					-0.138147	-3.383636																																									0.021970																																																				0.000000	
 2 	 9		3.092029		0.000000																																																																																					-0.122151	-2.991847																																									0.021968																																																				0.000000	
 2 	 10		3.036423		0.000000																																																																																					-0.119969	-2.938421																																									0.021968																																																				0.000000	
 2 	 11		3.295921		0.000000																																																																																					-0.130149	-3.187741																																									0.021969																																																				0.000000	
 2 	 12		3.611027		0.000000																																																																																					-0.142509	-3.490488																																									0.021970																																																				0.000000	
 2 	 13		3.592491		0.000000																																																																																					-0.141782	-3.472679																																									0.021970																																																				0.000000	
 2 	 14		3.407135		0.000000																																																																																					-0.134511	-3.294593																																									0.021969																																																				0.000000	
 2 	 15		3.666634		0.000000																																																																																					-0.144690	-3.543914																																									0.021971																																																				0.000000	
 2 	 16		3.981739		0.000000																																																																																					-0.157051	-3.846660																																									0.021972																																																				0.000000	
 2 	 17		4.130024		0.000000																																																																																					-0.162868	-3.989129																																									0.021973																																																				0.000000	
 2 	 18		3.648098		0.000000																																																																																					-0.143963	-3.526105																																									0.021970																																																				0.000000	
 2 	 19		2.517426		0.000000																																																																																					-0.099611	-2.439780																																									0.021965																																																				0.000000	
 2 	 20		1.659229		0.000000																																																																																					-0.065947	-1.615241																																									0.021959																																																				0.000000	
 2 	 21		1.151358		0.000000																																																																																					-0.046025	-1.127285																																									0.021952																																																				0.000000	
 2 	 22		0.739766		0.000000																																																																																					-0.029883	-0.731934																																									0.022051																																																				0.000000	
 2 	 23		0.433947		0.000000																																																																																					-0.017886	-0.438092																																									0.022031																																																				0.000000	
 2 	 24		0.127670		0.000000																																																																																					-0.005875	-0.143894																																									0.022098																																																				0.000000	
 3 	 1		0.108611		0.000000																																																																																					-0.004922	-0.120564																																									0.016876																																																				0.000000	
