Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																0.906452		0.001485				0.171108	0.016760																																																																																																																																-1.095805	
 1 	 2																																																0.907070		0.001485				0.170495	0.016754																																																																																																																																-1.095805	
 1 	 3																																																0.907023		0.001485				0.170542	0.016754																																																																																																																																-1.095805	
 1 	 4																																																0.906898		0.001485				0.170666	0.016756																																																																																																																																-1.095805	
 1 	 5																																																0.906728		0.001485				0.170833	0.016759																																																																																																																																-1.095805	
 1 	 6																																																0.906100		0.001485				0.171455	0.016765																																																																																																																																-1.095805	
 1 	 7																																																0.903719		0.001485				0.173815	0.016786																																																																																																																																-1.095805	
 1 	 8																																																0.903496		0.001485				0.174034	0.016790																																																																																																																																-1.095805	
 1 	 9																																																0.905079		0.001485				0.172469	0.016772																																																																																																																																-1.095805	
 1 	 10																																																0.905531		0.001485				0.172021	0.016768																																																																																																																																-1.095805	
 1 	 11																																																0.904967		0.001485				0.172578	0.016774																																																																																																																																-1.095805	
 1 	 12																																																0.904597		0.001485				0.172942	0.016780																																																																																																																																-1.095805	
 1 	 13																																																0.904177		0.001485				0.173356	0.016787																																																																																																																																-1.095805	
 1 	 14																																																0.903969		0.001485				0.173562	0.016789																																																																																																																																-1.095805	
 1 	 15																																																0.904196		0.001485				0.173337	0.016786																																																																																																																																-1.095805	
 1 	 16																																																0.902653		0.001485				0.174863	0.016803																																																																																																																																-1.095805	
 1 	 17																																																0.902801		0.001485				0.174719	0.016800																																																																																																																																-1.095805	
 1 	 18																																																0.903054		0.001485				0.174469	0.016797																																																																																																																																-1.095805	
 1 	 19																																																0.905703		0.001485				0.171850	0.016766																																																																																																																																-1.095805	
 1 	 20																																																0.906159		0.001485				0.171399	0.016762																																																																																																																																-1.095805	
 1 	 21																																																0.906284		0.001485				0.171275	0.016760																																																																																																																																-1.095805	
 1 	 22																																																0.906342		0.001485				0.171218	0.016760																																																																																																																																-1.095805	
 1 	 23																																																0.906321		0.001485				0.171239	0.016760																																																																																																																																-1.095805	
 1 	 24																																																0.910320		0.001485				0.167263	0.016737																																																																																																																																-1.095805	
 2 	 1																																																0.912376		0.001411				0.166043	0.015974																																																																																																																																-1.095805	
 2 	 2																																																0.912408		0.001411				0.166011	0.015975																																																																																																																																-1.095805	
 2 	 3																																																0.912575		0.001411				0.165847	0.015972																																																																																																																																-1.095805	
 2 	 4																																																0.912545		0.001411				0.165877	0.015971																																																																																																																																-1.095805	
 2 	 5																																																0.912341		0.001411				0.166078	0.015975																																																																																																																																-1.095805	
 2 	 6																																																0.911837		0.001411				0.166576	0.015981																																																																																																																																-1.095805	
 2 	 7																																																0.908526		0.001412				0.169835	0.016033																																																																																																																																-1.095805	
 2 	 8																																																0.908195		0.001411				0.170162	0.016037																																																																																																																																-1.095805	
 2 	 9																																																0.908513		0.001412				0.169845	0.016034																																																																																																																																-1.095805	
 2 	 10																																																0.909159		0.001412				0.169211	0.016023																																																																																																																																-1.095805	
 2 	 11																																																0.908884		0.001412				0.169481	0.016029																																																																																																																																-1.095805	
 2 	 12																																																0.908514		0.001412				0.169843	0.016036																																																																																																																																-1.095805	
 2 	 13																																																0.908973		0.001412				0.169394	0.016027																																																																																																																																-1.095805	
 2 	 14																																																0.908998		0.001411				0.169370	0.016025																																																																																																																																-1.095805	
 2 	 15																																																0.908272		0.001411				0.170083	0.016037																																																																																																																																-1.095805	
 2 	 16																																																0.908067		0.001411				0.170287	0.016039																																																																																																																																-1.095805	
 2 	 17																																																0.907950		0.001411				0.170405	0.016038																																																																																																																																-1.095805	
 2 	 18																																																0.908210		0.001411				0.170148	0.016035																																																																																																																																-1.095805	
 2 	 19																																																0.910478		0.001411				0.167916	0.015999																																																																																																																																-1.095805	
 2 	 20																																																0.911758		0.001411				0.166654	0.015981																																																																																																																																-1.095805	
 2 	 21																																																0.912072		0.001411				0.166345	0.015976																																																																																																																																-1.095805	
 2 	 22																																																0.912256		0.001411				0.166163	0.015974																																																																																																																																-1.095805	
 2 	 23																																																0.912400		0.001411				0.166021	0.015973																																																																																																																																-1.095805	
 2 	 24																																																0.912579		0.001411				0.165844	0.015971																																																																																																																																-1.095805	
 3 	 1																																																0.967876		0.001060				0.114907	0.011962																																																																																																																																-1.095805	
 3 	 2																																																0.967877		0.001060				0.114907	0.011961																																																																																																																																-1.095805	
 3 	 3																																																0.967876		0.001059				0.114914	0.011955																																																																																																																																-1.095805	
 3 	 4																																																0.967876		0.001060				0.114909	0.011960																																																																																																																																-1.095805	
 3 	 5																																																0.967876		0.001060				0.114907	0.011961																																																																																																																																-1.095805	
