Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 2																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 3																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 4																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 5																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 6																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 7																																																																									0.015336			0.000037	0.113683																																																																																																										-0.129055	
 1 	 8																																																																									0.015336			0.002423	0.111296																																																																																																										-0.129055	
 1 	 9																																																																									0.015336			0.003878	0.109842																																																																																																										-0.129055	
 1 	 10																																																																									0.015336			0.005118	0.108602																																																																																																										-0.129055	
 1 	 11																																																																									0.015336			0.006024	0.107696																																																																																																										-0.129055	
 1 	 12																																																																									0.015336			0.006516	0.107203																																																																																																										-0.129055	
 1 	 13																																																																									0.015336			0.001190	0.112530																																																																																																										-0.129055	
 1 	 14																																																																									0.015336			0.000256	0.113463																																																																																																										-0.129055	
 1 	 15																																																																									0.015336			0.001716	0.112004																																																																																																										-0.129055	
 1 	 16																																																																									0.015336			0.000012	0.113707																																																																																																										-0.129055	
 1 	 17																																																																									0.015336			0.000748	0.112972																																																																																																										-0.129055	
 1 	 18																																																																									0.015336			0.000087	0.113633																																																																																																										-0.129055	
 1 	 19																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 20																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 21																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 22																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 23																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 1 	 24																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 1																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 2																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 3																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 4																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 5																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 6																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 7																																																																									0.015336			0.000353	0.113367																																																																																																										-0.129055	
 2 	 8																																																																									0.015336			0.000526	0.113194																																																																																																										-0.129055	
 2 	 9																																																																									0.015336			0.000116	0.113604																																																																																																										-0.129055	
 2 	 10																																																																									0.015336			0.001146	0.112574																																																																																																										-0.129055	
 2 	 11																																																																									0.015336			0.001609	0.112111																																																																																																										-0.129055	
 2 	 12																																																																									0.015336			0.001218	0.112501																																																																																																										-0.129055	
 2 	 13																																																																									0.015336			0.006506	0.107214																																																																																																										-0.129055	
 2 	 14																																																																									0.015336			0.001956	0.111764																																																																																																										-0.129055	
 2 	 15																																																																									0.015336			0.001646	0.112074																																																																																																										-0.129055	
 2 	 16																																																																									0.015336			0.001464	0.112256																																																																																																										-0.129055	
 2 	 17																																																																									0.015336			0.000214	0.113506																																																																																																										-0.129055	
 2 	 18																																																																									0.015336			0.000086	0.113634																																																																																																										-0.129055	
 2 	 19																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 20																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 21																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 22																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 23																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 2 	 24																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 3 	 1																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 3 	 2																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 3 	 3																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 3 	 4																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 3 	 5																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 3 	 6																																																																									0.015336			0.000000	0.113720																																																																																																										-0.129055	
 3 	 7																																																																									0.015336			0.000439	0.113280																																																																																																										-0.129055	
 3 	 8																																																																									0.015336			0.001926	0.111794																																																																																																										-0.129055	
 3 	 9																																																																									0.015336			0.003453	0.110267																																																																																																										-0.129055	
 3 	 10																																																																									0.015336			0.004784	0.108936																																																																																																										-0.129055	
 3 	 11																																																																									0.015336			0.005781	0.107939																																																																																																										-0.129055	
