Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																													0.688593																										-0.026133																								-0.662460																																																																																																								0.000000	
 1 	 2																													0.688584																										-0.026124																								-0.662460																																																																																																								0.000000	
 1 	 3																													0.688584																										-0.026124																								-0.662460																																																																																																								0.000000	
 1 	 4																													0.688587																										-0.026127																								-0.662460																																																																																																								0.000000	
 1 	 5																													0.688592																										-0.026132																								-0.662460																																																																																																								0.000000	
 1 	 6																													0.688601																										-0.026141																								-0.662460																																																																																																								0.000000	
 1 	 7																													0.688634																										-0.026174																								-0.662460																																																																																																								0.000000	
 1 	 8																													0.688639																										-0.026179																								-0.662460																																																																																																								0.000000	
 1 	 9																													0.688611																										-0.026151																								-0.662460																																																																																																								0.000000	
 1 	 10																													0.688605																										-0.026145																								-0.662460																																																																																																								0.000000	
 1 	 11																													0.688615																										-0.026155																								-0.662460																																																																																																								0.000000	
 1 	 12																													0.688625																										-0.026165																								-0.662460																																																																																																								0.000000	
 1 	 13																													0.688635																										-0.026175																								-0.662460																																																																																																								0.000000	
 1 	 14																													0.688639																										-0.026179																								-0.662460																																																																																																								0.000000	
 1 	 15																													0.688633																										-0.026173																								-0.662460																																																																																																								0.000000	
 1 	 16																													0.688661																										-0.026201																								-0.662460																																																																																																								0.000000	
 1 	 17																													0.688655																										-0.026195																								-0.662460																																																																																																								0.000000	
 1 	 18																													0.688651																										-0.026190																								-0.662460																																																																																																								0.000000	
 1 	 19																													0.688602																										-0.026142																								-0.662460																																																																																																								0.000000	
 1 	 20																													0.688596																										-0.026136																								-0.662460																																																																																																								0.000000	
 1 	 21																													0.688594																										-0.026134																								-0.662460																																																																																																								0.000000	
 1 	 22																													0.688593																										-0.026133																								-0.662460																																																																																																								0.000000	
 1 	 23																													0.688593																										-0.026133																								-0.662460																																																																																																								0.000000	
 1 	 24																													0.688558																										-0.026098																								-0.662460																																																																																																								0.000000	
 2 	 1																													0.687368																										-0.024908																								-0.662460																																																																																																								0.000000	
 2 	 2																													0.687368																										-0.024908																								-0.662460																																																																																																								0.000000	
 2 	 3																													0.687364																										-0.024904																								-0.662460																																																																																																								0.000000	
 2 	 4																													0.687364																										-0.024904																								-0.662460																																																																																																								0.000000	
 2 	 5																													0.687369																										-0.024909																								-0.662460																																																																																																								0.000000	
 2 	 6																													0.687378																										-0.024918																								-0.662460																																																																																																								0.000000	
 2 	 7																													0.687459																										-0.024999																								-0.662460																																																																																																								0.000000	
 2 	 8																													0.687466																										-0.025006																								-0.662460																																																																																																								0.000000	
 2 	 9																													0.687462																										-0.025002																								-0.662460																																																																																																								0.000000	
 2 	 10																													0.687444																										-0.024984																								-0.662460																																																																																																								0.000000	
 2 	 11																													0.687453																										-0.024993																								-0.662460																																																																																																								0.000000	
 2 	 12																													0.687464																										-0.025004																								-0.662460																																																																																																								0.000000	
 2 	 13																													0.687450																										-0.024990																								-0.662460																																																																																																								0.000000	
 2 	 14																													0.687447																										-0.024987																								-0.662460																																																																																																								0.000000	
 2 	 15																													0.687466																										-0.025006																								-0.662460																																																																																																								0.000000	
 2 	 16																													0.687469																										-0.025009																								-0.662460																																																																																																								0.000000	
 2 	 17																													0.687467																										-0.025007																								-0.662460																																																																																																								0.000000	
 2 	 18																													0.687462																										-0.025002																								-0.662460																																																																																																								0.000000	
 2 	 19																													0.687407																										-0.024947																								-0.662460																																																																																																								0.000000	
 2 	 20																													0.687379																										-0.024919																								-0.662460																																																																																																								0.000000	
 2 	 21																													0.687371																										-0.024911																								-0.662460																																																																																																								0.000000	
 2 	 22																													0.687368																										-0.024908																								-0.662460																																																																																																								0.000000	
 2 	 23																													0.687365																										-0.024905																								-0.662460																																																																																																								0.000000	
 2 	 24																													0.687363																										-0.024903																								-0.662460																																																																																																								0.000000	
 3 	 1																													0.681112																										-0.018652																								-0.662460																																																																																																								0.000000	
 3 	 2																													0.681111																										-0.018651																								-0.662460																																																																																																								0.000000	
 3 	 3																													0.681101																										-0.018641																								-0.662460																																																																																																								0.000000	
 3 	 4																													0.681109																										-0.018649																								-0.662460																																																																																																								0.000000	
 3 	 5																													0.681110																										-0.018650																								-0.662460																																																																																																								0.000000	
 3 	 6																													0.681114																										-0.018654																								-0.662460																																																																																																								0.000000	
 3 	 7																													0.681095																										-0.018635																								-0.662460																																																																																																								0.000000	
 3 	 8																													0.681299																										-0.018839																								-0.662460																																																																																																								0.000000	
 3 	 9																													0.681125																										-0.018665																								-0.662460																																																																																																								0.000000	
 3 	 10																													0.681124																										-0.018664																								-0.662460																																																																																																								0.000000	
 3 	 11																													0.681126																										-0.018666																								-0.662460																																																																																																								0.000000	
