Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																								0.197074														-0.006008				-0.191066																																																																																																																																													0.000000	
 1 	 2																								0.231514														-0.005999				-0.225515																																																																																																																																													0.000000	
 1 	 3																								0.215765														-0.006304				-0.209461																																																																																																																																													0.000000	
 1 	 4																								0.219564														-0.005884				-0.213680																																																																																																																																													0.000000	
 1 	 5																								0.243607														-0.005980				-0.237627																																																																																																																																													0.000000	
 1 	 6																								0.297123														-0.005970				-0.291153																																																																																																																																													0.000000	
 1 	 7																								0.262874														-0.005913				-0.256961																																																																																																																																													0.000000	
 1 	 8																								0.304098														-0.007067				-0.297031																																																																																																																																													0.000000	
 1 	 9																								0.343327														-0.007124				-0.336203																																																																																																																																													0.000000	
 1 	 10																								0.362243														-0.007200				-0.355043																																																																																																																																													0.000000	
 1 	 11																								0.338592														-0.007191				-0.331401																																																																																																																																													0.000000	
 1 	 12																								0.342988														-0.006933				-0.336055																																																																																																																																													0.000000	
 1 	 13																								0.316400														-0.007286				-0.309114																																																																																																																																													0.000000	
 1 	 14																								0.350714														-0.007200				-0.343513																																																																																																																																													0.000000	
 1 	 15																								0.368565														-0.006952				-0.361612																																																																																																																																													0.000000	
 1 	 16																								0.343126														-0.006924				-0.336203																																																																																																																																													0.000000	
 1 	 17																								0.350579														-0.013161				-0.337418																																																																																																																																													0.000000	
 1 	 18																								0.402760														-0.021458				-0.381302																																																																																																																																													0.000000	
 1 	 19																								0.509213														-0.018311				-0.490903																																																																																																																																													0.000000	
 1 	 20																								0.514456														-0.025015				-0.489441																																																																																																																																													0.000000	
 1 	 21																								0.450042														-0.025025				-0.425018																																																																																																																																													0.000000	
 1 	 22																								0.369798														-0.024061				-0.345736																																																																																																																																													0.000000	
 1 	 23																								0.274473														-0.009461				-0.265012																																																																																																																																													0.000000	
 1 	 24																								0.307500														-0.005856				-0.301645																																																																																																																																													0.000000	
 2 	 1																								0.146400														-0.003901				-0.142499																																																																																																																																													0.000000	
 2 	 2																								0.123147														-0.004082				-0.119065																																																																																																																																													0.000000	
 2 	 3																								0.134672														-0.004482				-0.130190																																																																																																																																													0.000000	
 2 	 4																								0.134123														-0.004921				-0.129202																																																																																																																																													0.000000	
 2 	 5																								0.141095														-0.004978				-0.136117																																																																																																																																													0.000000	
 2 	 6																								0.140346														-0.004931				-0.135416																																																																																																																																													0.000000	
 2 	 7																								0.142339														-0.006647				-0.135692																																																																																																																																													0.000000	
 2 	 8																								0.145424														-0.006580				-0.138844																																																																																																																																													0.000000	
 2 	 9																								0.174643														-0.006704				-0.167938																																																																																																																																													0.000000	
 2 	 10																								0.178152														-0.006647				-0.171505																																																																																																																																													0.000000	
 2 	 11																								0.142036														-0.004368				-0.137668																																																																																																																																													0.000000	
 2 	 12																								0.172284														-0.004168				-0.168116																																																																																																																																													0.000000	
 2 	 13																								0.151621														-0.004320				-0.147300																																																																																																																																													0.000000	
 2 	 14																								0.160042														-0.004482				-0.155560																																																																																																																																													0.000000	
 2 	 15																								0.156905														-0.004349				-0.152556																																																																																																																																													0.000000	
 2 	 16																								0.164635														-0.010271				-0.154364																																																																																																																																													0.000000	
 2 	 17																								0.182648														-0.010471				-0.172177																																																																																																																																													0.000000	
 2 	 18																								0.211078														-0.019636				-0.191441																																																																																																																																													0.000000	
 2 	 19																								0.326365														-0.024414				-0.301951																																																																																																																																													0.000000	
 2 	 20																								0.328250														-0.024195				-0.304055																																																																																																																																													0.000000	
 2 	 21																								0.293066														-0.024309				-0.268757																																																																																																																																													0.000000	
 2 	 22																								0.242757														-0.023298				-0.219459																																																																																																																																													0.000000	
 2 	 23																								0.193885														-0.008421				-0.185464																																																																																																																																													0.000000	
 2 	 24																								0.147903														-0.004120				-0.143783																																																																																																																																													0.000000	
 3 	 1																								0.480289														-0.004778				-0.475511																																																																																																																																													0.000000	
 3 	 2																								0.478836														-0.004797				-0.474039																																																																																																																																													0.000000	
 3 	 3																								0.469664														-0.005179				-0.464485																																																																																																																																													0.000000	
 3 	 4																								0.454000														-0.005322				-0.448679																																																																																																																																													0.000000	
 3 	 5																								0.466422														-0.005217				-0.461206																																																																																																																																													0.000000	
 3 	 6																								0.476747														-0.005188				-0.471559																																																																																																																																													0.000000	
 3 	 7																								0.405898														-0.005312				-0.400586																																																																																																																																													0.000000	
 3 	 8																								0.434601														-0.005226				-0.429374																																																																																																																																													0.000000	
 3 	 9																								0.453968														-0.007048				-0.446920																																																																																																																																													0.000000	
 3 	 10																								0.459450														-0.007887				-0.451563																																																																																																																																													0.000000	
 3 	 11																								0.437334														-0.008335				-0.428999																																																																																																																																													0.000000	
