Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1										0.132073																																	-0.068780	-0.002581																																																																																							-0.060712																																																				0.000000	
 1 	 2										0.114955																																	-0.051063	-0.002608																																																																																							-0.061284																																																				0.000000	
 1 	 3										0.116231																																	-0.052513	-0.002578																																																																																							-0.061140																																																				0.000000	
 1 	 4										0.119849																																	-0.056600	-0.002538																																																																																							-0.060712																																																				0.000000	
 1 	 5										0.128628																																	-0.065324	-0.002659																																																																																							-0.060645																																																				0.000000	
 1 	 6										0.148853																																	-0.085401	-0.002787																																																																																							-0.060664																																																				0.000000	
 1 	 7										0.480285																																	-0.417171	-0.002527																																																																																							-0.060587																																																				0.000000	
 1 	 8										0.467100																																	-0.404026	-0.002486																																																																																							-0.060589																																																				0.000000	
 1 	 9										0.220136																																	-0.157069	-0.002480																																																																																							-0.060588																																																				0.000000	
 1 	 10										0.176325																																	-0.113267	-0.002471																																																																																							-0.060588																																																				0.000000	
 1 	 11										0.236048																																	-0.172988	-0.002471																																																																																							-0.060588																																																				0.000000	
 1 	 12										0.319379																																	-0.256309	-0.002482																																																																																							-0.060589																																																				0.000000	
 1 	 13										0.386280																																	-0.323195	-0.002496																																																																																							-0.060589																																																				0.000000	
 1 	 14										0.415369																																	-0.352288	-0.002493																																																																																							-0.060589																																																				0.000000	
 1 	 15										0.380506																																	-0.317418	-0.002499																																																																																							-0.060589																																																				0.000000	
 1 	 16										0.512674																																	-0.449623	-0.002461																																																																																							-0.060590																																																				0.000000	
 1 	 17										0.505092																																	-0.442007	-0.002495																																																																																							-0.060590																																																				0.000000	
 1 	 18										0.495108																																	-0.432016	-0.002503																																																																																							-0.060589																																																				0.000000	
 1 	 19										0.164562																																	-0.101476	-0.002500																																																																																							-0.060586																																																				0.000000	
 1 	 20										0.142311																																	-0.079210	-0.002518																																																																																							-0.060583																																																				0.000000	
 1 	 21										0.138378																																	-0.075180	-0.002536																																																																																							-0.060662																																																				0.000000	
 1 	 22										0.137105																																	-0.073891	-0.002562																																																																																							-0.060653																																																				0.000000	
 1 	 23										0.139376																																	-0.076110	-0.002621																																																																																							-0.060645																																																				0.000000	
 1 	 24										0.090989																																	-0.027774	-0.002503																																																																																							-0.060712																																																				0.000000	
 2 	 1										0.183322																																	-0.124229	-0.002703																																																																																							-0.056391																																																				0.000000	
 2 	 2										0.181469																																	-0.122573	-0.002721																																																																																							-0.056175																																																				0.000000	
 2 	 3										0.173226																																	-0.113880	-0.002825																																																																																							-0.056522																																																				0.000000	
 2 	 4										0.175332																																	-0.116284	-0.002637																																																																																							-0.056411																																																				0.000000	
 2 	 5										0.188256																																	-0.129253	-0.002764																																																																																							-0.056239																																																				0.000000	
 2 	 6										0.220662																																	-0.161714	-0.002909																																																																																							-0.056040																																																				0.000000	
 2 	 7										0.453727																																	-0.394892	-0.002765																																																																																							-0.056070																																																				0.000000	
 2 	 8										0.461903																																	-0.403109	-0.002713																																																																																							-0.056081																																																				0.000000	
 2 	 9										0.450351																																	-0.391546	-0.002729																																																																																							-0.056076																																																				0.000000	
 2 	 10										0.420127																																	-0.361291	-0.002761																																																																																							-0.056075																																																				0.000000	
 2 	 11										0.433813																																	-0.374955	-0.002779																																																																																							-0.056078																																																				0.000000	
 2 	 12										0.449040																																	-0.390184	-0.002774																																																																																							-0.056082																																																				0.000000	
 2 	 13										0.427921																																	-0.369046	-0.002793																																																																																							-0.056082																																																				0.000000	
 2 	 14										0.426928																																	-0.368073	-0.002775																																																																																							-0.056080																																																				0.000000	
 2 	 15										0.458699																																	-0.399876	-0.002741																																																																																							-0.056082																																																				0.000000	
 2 	 16										0.465110																																	-0.406305	-0.002719																																																																																							-0.056086																																																				0.000000	
 2 	 17										0.468209																																	-0.409419	-0.002702																																																																																							-0.056087																																																				0.000000	
 2 	 18										0.460978																																	-0.402151	-0.002745																																																																																							-0.056082																																																				0.000000	
 2 	 19										0.318876																																	-0.260010	-0.002797																																																																																							-0.056068																																																				0.000000	
 2 	 20										0.217279																																	-0.158432	-0.002795																																																																																							-0.056052																																																				0.000000	
 2 	 21										0.202355																																	-0.143513	-0.002807																																																																																							-0.056035																																																				0.000000	
 2 	 22										0.194751																																	-0.135642	-0.002821																																																																																							-0.056288																																																				0.000000	
 2 	 23										0.183996																																	-0.125047	-0.002711																																																																																							-0.056238																																																				0.000000	
 2 	 24										0.173783																																	-0.114696	-0.002678																																																																																							-0.056409																																																				0.000000	
 3 	 1										0.043080																																	-0.000001	-0.000001																																																																																							-0.043078																																																				0.000000	
 3 	 2										0.042209																																	-0.000000	-0.000000																																																																																							-0.042209																																																				0.000000	
