Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																								1.422008														-0.039723				-1.382285																																																																																																																																													0.000000	
 1 	 2																								1.613546														-0.042387				-1.571159																																																																																																																																													0.000000	
 1 	 3																								1.667256														-0.044703				-1.622554																																																																																																																																													0.000000	
 1 	 4																								1.676011														-0.043761				-1.632250																																																																																																																																													0.000000	
 1 	 5																								1.690353														-0.045090				-1.645264																																																																																																																																													0.000000	
 1 	 6																								1.699998														-0.046402				-1.653596																																																																																																																																													0.000000	
 1 	 7																								1.707276														-0.047572				-1.659704																																																																																																																																													0.000000	
 1 	 8																								1.504699														-0.038458				-1.466241																																																																																																																																													0.000000	
 1 	 9																								1.266004														-0.037669				-1.228336																																																																																																																																													0.000000	
 1 	 10																								1.205338														-0.037492				-1.167846																																																																																																																																													0.000000	
 1 	 11																								1.258119														-0.037573				-1.220546																																																																																																																																													0.000000	
 1 	 12																								1.343360														-0.037698				-1.305662																																																																																																																																													0.000000	
 1 	 13																								1.409392														-0.037857				-1.371535																																																																																																																																													0.000000	
 1 	 14																								1.640734														-0.040694				-1.600040																																																																																																																																													0.000000	
 1 	 15																								1.586857														-0.039281				-1.547575																																																																																																																																													0.000000	
 1 	 16																								1.757336														-0.060237				-1.697099																																																																																																																																													0.000000	
 1 	 17																								1.757287														-0.060206				-1.697081																																																																																																																																													0.000000	
 1 	 18																								1.752708														-0.058162				-1.694546																																																																																																																																													0.000000	
 1 	 19																								1.658813														-0.041357				-1.617457																																																																																																																																													0.000000	
 1 	 20																								1.433894														-0.038047				-1.395847																																																																																																																																													0.000000	
 1 	 21																								1.267647														-0.037769				-1.229878																																																																																																																																													0.000000	
 1 	 22																								1.137770														-0.037716				-1.100054																																																																																																																																													0.000000	
 1 	 23																								1.211109														-0.037848				-1.173261																																																																																																																																													0.000000	
 1 	 24																								1.670695														-0.040486				-1.630209																																																																																																																																													0.000000	
 2 	 1																								1.598723														-0.054602				-1.544121																																																																																																																																													0.000000	
 2 	 2																								1.601099														-0.054632				-1.546467																																																																																																																																													0.000000	
 2 	 3																								1.603475														-0.054661				-1.548814																																																																																																																																													0.000000	
 2 	 4																								1.605851														-0.054691				-1.551160																																																																																																																																													0.000000	
 2 	 5																								1.608227														-0.054721				-1.553506																																																																																																																																													0.000000	
 2 	 6																								1.610603														-0.054750				-1.555853																																																																																																																																													0.000000	
 2 	 7																								1.612979														-0.054780				-1.558199																																																																																																																																													0.000000	
 2 	 8																								1.615356														-0.054810				-1.560546																																																																																																																																													0.000000	
 2 	 9																								1.617732														-0.054839				-1.562892																																																																																																																																													0.000000	
 2 	 10																								1.620108														-0.054869				-1.565239																																																																																																																																													0.000000	
 2 	 11																								1.622484														-0.054899				-1.567585																																																																																																																																													0.000000	
 2 	 12																								1.624860														-0.054929				-1.569932																																																																																																																																													0.000000	
 2 	 13																								1.627236														-0.054958				-1.572278																																																																																																																																													0.000000	
 2 	 14																								1.629613														-0.054988				-1.574625																																																																																																																																													0.000000	
 2 	 15																								1.631989														-0.055018				-1.576971																																																																																																																																													0.000000	
 2 	 16																								1.634365														-0.055047				-1.579317																																																																																																																																													0.000000	
 2 	 17																								1.636741														-0.055077				-1.581664																																																																																																																																													0.000000	
 2 	 18																								1.639117														-0.055107				-1.584010																																																																																																																																													0.000000	
 2 	 19																								1.641493														-0.055136				-1.586357																																																																																																																																													0.000000	
 2 	 20																								1.643869														-0.055166				-1.588703																																																																																																																																													0.000000	
 2 	 21																								1.646246														-0.055196				-1.591050																																																																																																																																													0.000000	
 2 	 22																								1.648622														-0.055225				-1.593396																																																																																																																																													0.000000	
 2 	 23																								1.650998														-0.055255				-1.595743																																																																																																																																													0.000000	
 2 	 24																								1.653374														-0.055285				-1.598089																																																																																																																																													0.000000	
 3 	 1																								0.804209														-0.035747				-0.768462																																																																																																																																													0.000000	
 3 	 2																								0.796423														-0.034676				-0.761747																																																																																																																																													0.000000	
 3 	 3																								0.894679														-0.035515				-0.859163																																																																																																																																													0.000000	
 3 	 4																								1.261761														-0.036705				-1.225056																																																																																																																																													0.000000	
 3 	 5																								1.466608														-0.037789				-1.428820																																																																																																																																													0.000000	
 3 	 6																								1.576003														-0.039103				-1.536901																																																																																																																																													0.000000	
 3 	 7																								1.628954														-0.040280				-1.588674																																																																																																																																													0.000000	
 3 	 8																								1.417853														-0.036946				-1.380907																																																																																																																																													0.000000	
 3 	 9																								1.166437														-0.036126				-1.130312																																																																																																																																													0.000000	
 3 	 10																								1.086489														-0.035970				-1.050519																																																																																																																																													0.000000	
 3 	 11																								1.133144														-0.036054				-1.097090																																																																																																																																													0.000000	
