Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1										2.395849																																	-0.000001	-0.000002																																																																																							-0.286247	-2.109599																																																			0.000000	
 1 	 2										2.220821																																	-0.000001	-0.000002																																																																																							-0.158556	-2.062262																																																			0.000000	
 1 	 3										2.177943																																	-0.000001	-0.000002																																																																																							-0.100630	-2.077310																																																			0.000000	
 1 	 4										2.482247																																	-0.000001	-0.000002																																																																																							-0.350938	-2.131306																																																			0.000000	
 1 	 5										3.041146																																	-0.000001	-0.000002																																																																																							-0.705988	-2.335156																																																			0.000000	
 1 	 6										3.323286																																	-0.000001	-0.000002																																																																																							-0.705988	-2.617296																																																			0.000000	
 1 	 7										3.472618																																	-0.000001	-0.000002																																																																																							-0.705988	-2.766628																																																			0.000000	
 1 	 8										3.517237																																	-0.000001	-0.000002																																																																																							-0.705988	-2.811247																																																			0.000000	
 1 	 9										3.499637																																	-0.000001	-0.000002																																																																																							-0.705988	-2.793647																																																			0.000000	
 1 	 10										3.496844																																	-0.000001	-0.000002																																																																																							-0.705988	-2.790854																																																			0.000000	
 1 	 11										3.508714																																	-0.000001	-0.000002																																																																																							-0.705988	-2.802724																																																			0.000000	
 1 	 12										3.521190																																	-0.000001	-0.000002																																																																																							-0.705988	-2.815200																																																			0.000000	
 1 	 13										3.520356																																	-0.000001	-0.000002																																																																																							-0.705988	-2.814366																																																			0.000000	
 1 	 14										3.513061																																	-0.000001	-0.000002																																																																																							-0.705988	-2.807071																																																			0.000000	
 1 	 15										3.522960																																	-0.000001	-0.000002																																																																																							-0.705988	-2.816970																																																			0.000000	
 1 	 16										3.533342																																	-0.000001	-0.000002																																																																																							-0.705988	-2.827351																																																			0.000000	
 1 	 17										3.538064																																	-0.000001	-0.000002																																																																																							-0.705988	-2.832074																																																			0.000000	
 1 	 18										3.522036																																	-0.000001	-0.000002																																																																																							-0.705988	-2.816046																																																			0.000000	
 1 	 19										3.466363																																	-0.000001	-0.000002																																																																																							-0.705988	-2.760373																																																			0.000000	
 1 	 20										3.387690																																	-0.000001	-0.000002																																																																																							-0.705988	-2.681700																																																			0.000000	
 1 	 21										3.300321																																	-0.000001	-0.000002																																																																																							-0.705988	-2.594331																																																			0.000000	
 1 	 22										3.180066																																	-0.000001	-0.000002																																																																																							-0.705988	-2.474075																																																			0.000000	
 1 	 23										3.039229																																	-0.000001	-0.000002																																																																																							-0.705988	-2.333239																																																			0.000000	
 1 	 24										2.471356																																	-0.000001	-0.000002																																																																																							-0.341636	-2.129718																																																			0.000000	
 2 	 1										2.865084																																	-0.000001	-0.000001																																																																																							-0.286247	-2.578834																																																			0.000000	
 2 	 2										2.677243																																	-0.000001	-0.000001																																																																																							-0.158556	-2.518684																																																			0.000000	
 2 	 3										2.592183																																	-0.000001	-0.000001																																																																																							-0.100630	-2.491550																																																			0.000000	
 2 	 4										2.956422																																	-0.000001	-0.000001																																																																																							-0.350938	-2.605481																																																			0.000000	
 2 	 5										3.529672																																	-0.000001	-0.000001																																																																																							-0.705988	-2.823682																																																			0.000000	
 2 	 6										3.747200																																	-0.000001	-0.000001																																																																																							-0.705988	-3.041209																																																			0.000000	
 2 	 7										3.839586																																	-0.000001	-0.000001																																																																																							-0.705988	-3.133596																																																			0.000000	
 2 	 8										3.870595																																	-0.000001	-0.000001																																																																																							-0.705988	-3.164605																																																			0.000000	
 2 	 9										3.859278																																	-0.000001	-0.000001																																																																																							-0.705988	-3.153288																																																			0.000000	
 2 	 10										3.857223																																	-0.000001	-0.000001																																																																																							-0.705988	-3.151233																																																			0.000000	
 2 	 11										3.864592																																	-0.000001	-0.000001																																																																																							-0.705988	-3.158602																																																			0.000000	
 2 	 12										3.872409																																	-0.000001	-0.000001																																																																																							-0.705988	-3.166419																																																			0.000000	
 2 	 13										3.871874																																	-0.000001	-0.000001																																																																																							-0.705988	-3.165884																																																			0.000000	
 2 	 14										3.867123																																	-0.000001	-0.000001																																																																																							-0.705988	-3.161132																																																			0.000000	
 2 	 15										3.873529																																	-0.000001	-0.000001																																																																																							-0.705988	-3.167539																																																			0.000000	
 2 	 16										3.880483																																	-0.000001	-0.000001																																																																																							-0.705988	-3.174493																																																			0.000000	
 2 	 17										3.883552																																	-0.000001	-0.000001																																																																																							-0.705988	-3.177561																																																			0.000000	
 2 	 18										3.873382																																	-0.000001	-0.000001																																																																																							-0.705988	-3.167392																																																			0.000000	
 2 	 19										3.837416																																	-0.000001	-0.000001																																																																																							-0.705988	-3.131426																																																			0.000000	
 2 	 20										3.789070																																	-0.000001	-0.000001																																																																																							-0.705988	-3.083080																																																			0.000000	
