source;target;realValue;layerID;layerColor;layerUnit
Oil;Non-energy demand;0.29;Oil;#8B008B;TWh
Gas;Non-energy demand;2.12;Gas;#FFD700;TWh
Prod. & Imp. Gasoline;Gasoline;14.46;Gasoline;#808080;TWh
Gasoline;Mob priv;15.9;Gasoline;#808080;TWh
Gasoline;Mob public;0.66;Gasoline;#808080;TWh
Prod. & Imp. Diesel;Diesel;9.67;Diesel;#D3D3D3;TWh
Diesel;Mob priv;8.52;Diesel;#D3D3D3;TWh
Diesel;Mob public;0.4;Diesel;#D3D3D3;TWh
Diesel;Freight;6.76;Diesel;#D3D3D3;TWh
Gas Prod;Gas;0;GAS;#FFD700;TWh
Gas;Mob priv;14.37;GAS;#FFD700;TWh
Gas;Mob public;0.86;GAS;#FFD700;TWh
Gas;Freight;2.87;GAS;#FFD700;TWh
Gas;Elec;7.02;GAS;#FFD700;TWh
Gas;Boilers;15.88;GAS;#FFD700;TWh
Gas;Cooking urban;7.5;GAS;#FFD700;TWh
Gas;Cooking rural;3.01;GAS;#FFD700;TWh
LPG;Cooking urban;1.19;LPG;#FF7F50;TWh
LPG;Cooking rural;0.48;LPG;#FF7F50;TWh
Wind;Elec;1.07;Wind;#27AE34;TWh
Hydro River;Elec;0.31;Hydro River;#0000FF;TWh
Hydro Dam;Elec;6.26;Hydro Dam;#0000FF;TWh
Biomass;Elec;1.86;Biomass;#CD853F;TWh
Solar;Elec;2.34;Solar;#FFFF00;TWh
Solar;Dec. sto;0;Solar;#FFFF00;TWh
Solar;Heat LT Dec;0.02;Solar;#FFFF00;TWh
Geothermal;Elec;0.8;Geothermal;#FF0000;TWh
Oil;Freight;1.4;Oil;#8B008B;TWh
Elec;Mob priv;0.02;Electricity;#00BFFF;TWh
Elec;Freight;0;Electricity;#00BFFF;TWh
Elec;Losses;2.57;Electricity;#00BFFF;TWh
Elec;Elec demand;11.31;Electricity;#00BFFF;TWh
Solar;Losses;0.08;Solar;#FFFF00;TWh
Wind;Losses;0.14;Wind;#27AE34;TWh
Elec;Cooking urban;0.8;Electricity;#00BFFF;TWh
Elec;Cooking rural;0;Electricity;#00BFFF;TWh
Biomass;Bioethanol;5.35;Biomass;#CD853F;TWh
Bioethanol;Gasoline;2.1;Gasoline;#808080;TWh
Biomass;Biodiesel;28.61;Biomass;#CD853F;TWh
Biodiesel;Diesel;6.01;Diesel;#D3D3D3;TWh
Boilers;Dec. sto;0;Heat LT;#FA8072;TWh
Boilers;Heat LT Dec;1.53;Heat LT;#FA8072;TWh
Boilers;Heat HT;13.15;Heat HT;#DC143C;TWh
Heat HT;Ind Heat Demand;13.15;Heat HT;#DC143C;TWh
