Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 1			577.735708																											-0.000001	0.326750																																													
 2			577.259547																											-0.000001	0.360615																																													
 3			576.769382																											-0.000000	0.374713																																													
 4			576.203992																											-0.000001	0.450037																																													
 5			575.507506																											-0.000000	0.581245																																													
 6			574.378045																											-0.000001	1.014360																																													
 7			573.253709																											-0.000000	1.009460																																													
 8			575.151745																											-2.829765	0.817079																																													
 9			578.989948																											-4.675703	0.722470																																													
 10			583.921951																											-5.757369	0.709568																																													
 11			589.266711																											-6.231319	0.769774																																													
 12			594.588670																											-6.282694	0.842881																																													
 13			599.484627																											-5.853455	0.838581																																													
 14			603.525669																											-4.956515	0.795577																																													
 15			606.134114																											-3.584933	0.855782																																													
 16			606.784790																											-1.700791	0.928889																																													
 17			605.698125																											-0.000002	0.965309																																													
 18			603.901583																											-0.000001	1.675403																																													
 19			602.339949																											-0.000001	1.440854																																													
 20			600.980365																											-0.000001	1.239116																																													
 21			599.807192																											-0.000001	1.052978																																													
 22			598.822444																											-0.000001	0.864787																																													
 23			597.997309																											-0.000000	0.705371																																													
 24			597.355354																											-0.000000	0.522357																																													
 25			596.707121																											-0.000001	0.528762																																													
 26			595.971495																											-0.000001	0.616285																																													
 27			595.246947																											-0.000001	0.605354																																													
 28			594.419974																											-0.000001	0.707924																																													
 29			593.400060																											-0.000000	0.901030																																													
 30			592.067152																											-0.000000	1.214229																																													
 31			591.651843																											-0.318063	0.614959																																													
 32			592.475641																											-1.759208	0.817079																																													
 33			593.264167																											-1.629491	0.722470																																													
 34			596.660062																											-4.224116	0.709568																																													
 35			601.322191																											-5.551235	0.769774																																													
 36			604.738121																											-4.379075	0.842881																																													
 37			609.813490																											-6.034897	0.838581																																													
 38			613.773711																											-4.877761	0.795577																																													
 39			615.630841																											-2.835667	0.855782																																													
 40			616.022896																											-1.444071	0.928890																																													
 41			614.601315																											-0.000000	1.298377																																													
 42			612.328464																											-0.000000	2.149931																																													
 43			609.985574																											-0.000000	2.220425																																													
 44			608.123984																											-0.000000	1.739593																																													
 45			606.560625																											-0.000000	1.441734																																													
 46			605.260168																											-0.000000	1.179145																																													
