Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	LPG	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	OCGT	GENSET_DIESEL	HYDRO_DAM	ST_BIOMASS	ST_SNG	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	IND_ENG_DIESEL	IND_BURNER_LPG	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	STOVE_WOOD	STOVE_LPG	STOVE_NG	STOVE_OIL	STOVE_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	BUS_COACH_GASOLINE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	AIR_LFO	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	FERMENTATION_TO_BIOETHANOL	ESTERIFICATION_TO_BIODIESEL	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 2																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 3																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 4																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 5																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 6																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 7																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 8																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 9																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 10																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 11																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 12																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 13																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 14																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 15																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 16																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 17																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 18																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 19																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 20																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 21																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 22																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 23																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 1 	 24																								1.757862														-0.060478				-1.697384																																																																																																																																													0.000000	
 2 	 1																								1.598723														-0.054602				-1.544121																																																																																																																																													0.000000	
 2 	 2																								1.601099														-0.054632				-1.546467																																																																																																																																													0.000000	
 2 	 3																								1.603475														-0.054662				-1.548814																																																																																																																																													0.000000	
 2 	 4																								1.605851														-0.054691				-1.551160																																																																																																																																													0.000000	
 2 	 5																								1.608228														-0.054721				-1.553506																																																																																																																																													0.000000	
 2 	 6																								1.610604														-0.054751				-1.555853																																																																																																																																													0.000000	
 2 	 7																								1.612980														-0.054781				-1.558199																																																																																																																																													0.000000	
 2 	 8																								1.615356														-0.054810				-1.560546																																																																																																																																													0.000000	
 2 	 9																								1.617732														-0.054840				-1.562892																																																																																																																																													0.000000	
 2 	 10																								1.620108														-0.054870				-1.565239																																																																																																																																													0.000000	
 2 	 11																								1.622484														-0.054899				-1.567585																																																																																																																																													0.000000	
 2 	 12																								1.624861														-0.054929				-1.569932																																																																																																																																													0.000000	
 2 	 13																								1.627237														-0.054959				-1.572278																																																																																																																																													0.000000	
 2 	 14																								1.629613														-0.054988				-1.574625																																																																																																																																													0.000000	
 2 	 15																								1.631989														-0.055018				-1.576971																																																																																																																																													0.000000	
 2 	 16																								1.634365														-0.055048				-1.579317																																																																																																																																													0.000000	
 2 	 17																								1.636741														-0.055077				-1.581664																																																																																																																																													0.000000	
 2 	 18																								1.639118														-0.055107				-1.584010																																																																																																																																													0.000000	
 2 	 19																								1.641494														-0.055137				-1.586357																																																																																																																																													0.000000	
 2 	 20																								1.643870														-0.055167				-1.588703																																																																																																																																													0.000000	
 2 	 21																								1.646246														-0.055196				-1.591050																																																																																																																																													0.000000	
 2 	 22																								1.648622														-0.055226				-1.593396																																																																																																																																													0.000000	
 2 	 23																								1.650998														-0.055256				-1.595743																																																																																																																																													0.000000	
 2 	 24																								1.653374														-0.055285				-1.598089																																																																																																																																													0.000000	
 3 	 1																								1.764426														-0.055031				-1.709395																																																																																																																																													0.000000	
 3 	 2																								1.737723														-0.030665				-1.707057																																																																																																																																													0.000000	
 3 	 3																								1.721367														-0.021676				-1.699691																																																																																																																																													0.000000	
 3 	 4																								1.721878														-0.019493				-1.702385																																																																																																																																													0.000000	
 3 	 5																								1.764118														-0.055023				-1.709095																																																																																																																																													0.000000	
 3 	 6																								1.764006														-0.054989				-1.709016																																																																																																																																													0.000000	
 3 	 7																								1.589674														-0.014050				-1.575624																																																																																																																																													0.000000	
 3 	 8																								1.268904														-0.014182				-1.254722																																																																																																																																													0.000000	
 3 	 9																								1.139311														-0.014183				-1.125128																																																																																																																																													0.000000	
 3 	 10																								1.038208														-0.014190				-1.024018																																																																																																																																													0.000000	
 3 	 11																								1.007593														-0.014184				-0.993408																																																																																																																																													0.000000	
